secret,,,,
Date, Full Time, Part Time, One Time, Total
23.02.2016,0,0,1,1
24.02.2016,0,1,0,1
25.02.2016,0,1,0,1
26.02.2016,0,1,0,1
27.02.2016,0,1,0,1
28.02.2016,0,1,0,1
29.02.2016,0,1,0,1
01.03.2016,0,1,0,1
02.03.2016,0,1,0,1
03.03.2016,0,1,0,1
04.03.2016,0,1,0,1
05.03.2016,0,1,0,1
06.03.2016,0,1,0,1
07.03.2016,0,1,0,1
08.03.2016,0,1,0,1
09.03.2016,0,1,0,1
10.03.2016,0,1,0,1
11.03.2016,0,1,0,1
12.03.2016,0,1,0,1
13.03.2016,0,1,0,1
14.03.2016,0,1,0,1
15.03.2016,0,1,0,1
16.03.2016,0,1,0,1
17.03.2016,0,1,0,1
18.03.2016,0,1,0,1
19.03.2016,0,1,0,1
20.03.2016,0,1,0,1
21.03.2016,0,1,0,1
22.03.2016,0,1,0,1
23.03.2016,0,1,0,1
24.03.2016,0,1,0,1
25.03.2016,0,1,0,1
26.03.2016,0,1,0,1
27.03.2016,0,1,0,1
22.06.2016,0,0,1,1
23.06.2016,0,0,1,1
24.06.2016,0,0,1,1
25.06.2016,0,0,1,1
26.06.2016,0,0,1,1
27.06.2016,0,0,1,1
28.06.2016,0,0,1,1
29.06.2016,0,0,1,1
30.06.2016,0,0,1,1
01.07.2016,0,0,1,1
02.07.2016,0,0,1,1
03.07.2016,0,0,1,1
04.07.2016,0,0,1,1
05.07.2016,0,0,2,2
06.07.2016,0,0,2,2
07.07.2016,0,0,2,2
08.07.2016,0,0,2,2
09.07.2016,0,0,2,2
10.07.2016,0,0,2,2
11.07.2016,0,0,2,2
12.07.2016,0,0,2,2
13.07.2016,0,0,3,3
14.07.2016,0,1,2,3
15.07.2016,0,1,2,3
16.07.2016,0,1,2,3
17.07.2016,0,1,2,3
18.07.2016,0,2,1,3
19.07.2016,0,2,1,3
20.07.2016,0,2,1,3
21.07.2016,0,2,1,3
22.07.2016,0,2,1,3
23.07.2016,0,2,1,3
24.07.2016,0,2,1,3
25.07.2016,0,2,1,3
26.07.2016,0,2,1,3
27.07.2016,0,2,1,3
28.07.2016,0,2,1,3
29.07.2016,0,2,1,3
30.07.2016,0,2,1,3
31.07.2016,0,2,1,3
01.08.2016,0,2,1,3
02.08.2016,0,2,0,2
03.08.2016,0,2,0,2
04.08.2016,0,2,0,2
05.08.2016,0,2,1,3
06.08.2016,0,2,1,3
07.08.2016,0,2,1,3
08.08.2016,0,2,1,3
09.08.2016,0,3,0,3
10.08.2016,0,3,0,3
11.08.2016,1,2,0,3
12.08.2016,1,2,0,3
13.08.2016,1,2,0,3
14.08.2016,1,2,1,4
15.08.2016,1,2,1,4
16.08.2016,1,3,1,5
17.08.2016,1,4,2,7
18.08.2016,1,5,1,7
19.08.2016,1,5,2,8
20.08.2016,1,6,1,8
21.08.2016,1,6,1,8
22.08.2016,1,6,2,9
23.08.2016,1,7,2,10
24.08.2016,1,7,2,10
25.08.2016,1,7,2,10
26.08.2016,1,8,1,10
27.08.2016,1,8,1,10
28.08.2016,1,8,1,10
29.08.2016,1,8,1,10
30.08.2016,1,8,2,11
31.08.2016,1,8,2,11
01.09.2016,1,8,3,12
02.09.2016,1,8,3,12
03.09.2016,1,8,3,12
04.09.2016,1,8,3,12
05.09.2016,1,8,3,12
06.09.2016,1,10,3,14
07.09.2016,1,10,4,15
08.09.2016,1,11,3,15
09.09.2016,1,11,3,15
10.09.2016,1,11,3,15
11.09.2016,1,11,3,15
12.09.2016,1,11,3,15
13.09.2016,2,10,3,15
14.09.2016,2,10,3,15
15.09.2016,3,9,3,15
16.09.2016,3,9,3,15
17.09.2016,3,9,3,15
18.09.2016,3,9,3,15
19.09.2016,3,9,3,15
20.09.2016,2,10,3,15
21.09.2016,2,10,3,15
22.09.2016,2,10,3,15
23.09.2016,2,9,4,15
24.09.2016,2,9,4,15
25.09.2016,2,9,5,16
26.09.2016,2,9,5,16
27.09.2016,2,10,4,16
28.09.2016,2,11,3,16
29.09.2016,3,10,3,16
30.09.2016,3,9,3,15
01.10.2016,3,9,3,15
02.10.2016,3,9,3,15
03.10.2016,3,9,4,16
04.10.2016,3,8,3,14
05.10.2016,3,9,2,14
06.10.2016,4,7,2,13
07.10.2016,4,7,2,13
08.10.2016,4,7,2,13
09.10.2016,3,8,2,13
10.10.2016,3,8,2,13
11.10.2016,3,7,2,12
12.10.2016,3,7,2,12
13.10.2016,3,7,2,12
14.10.2016,3,7,2,12
15.10.2016,3,7,2,12
16.10.2016,3,7,2,12
17.10.2016,2,6,2,10
18.10.2016,2,6,2,10
19.10.2016,2,6,2,10
20.10.2016,2,6,2,10
21.10.2016,2,6,1,9
22.10.2016,2,6,1,9
23.10.2016,2,6,1,9
24.10.2016,2,6,1,9
25.10.2016,2,5,1,8
26.10.2016,2,5,2,9
27.10.2016,2,5,2,9
28.10.2016,2,6,2,10
29.10.2016,2,6,2,10
30.10.2016,2,6,2,10
31.10.2016,2,6,1,9
01.11.2016,2,6,1,9
02.11.2016,2,4,1,7
03.11.2016,3,3,1,7
04.11.2016,3,3,1,7
05.11.2016,3,3,1,7
06.11.2016,3,3,1,7
07.11.2016,3,3,1,7
08.11.2016,3,3,1,7
09.11.2016,3,4,1,8
10.11.2016,3,4,1,8
11.11.2016,3,4,1,8
12.11.2016,3,4,1,8
13.11.2016,3,4,1,8
14.11.2016,3,4,1,8
15.11.2016,2,5,1,8
16.11.2016,2,5,1,8
17.11.2016,2,5,1,8
18.11.2016,2,5,1,8
19.11.2016,2,5,1,8
20.11.2016,2,5,1,8
21.11.2016,2,5,1,8
22.11.2016,2,5,1,8
23.11.2016,2,5,0,7
24.11.2016,2,5,0,7
25.11.2016,2,4,1,7
26.11.2016,2,4,1,7
27.11.2016,2,4,1,7
28.11.2016,2,4,1,7
29.11.2016,2,4,1,7
30.11.2016,2,4,1,7
01.12.2016,2,5,1,8
02.12.2016,2,5,1,8
03.12.2016,2,5,1,8
04.12.2016,2,5,1,8
05.12.2016,2,5,1,8
06.12.2016,2,5,1,8
07.12.2016,2,5,1,8
08.12.2016,2,5,1,8
09.12.2016,2,5,1,8
10.12.2016,2,5,1,8
11.12.2016,2,5,1,8
12.12.2016,2,5,1,8
13.12.2016,2,5,1,8
14.12.2016,2,5,1,8
15.12.2016,2,5,1,8
16.12.2016,2,4,1,7
17.12.2016,2,4,1,7
18.12.2016,2,4,1,7
19.12.2016,1,5,1,7
20.12.2016,1,5,1,7
21.12.2016,1,5,1,7
22.12.2016,1,5,2,8
23.12.2016,1,5,1,7
24.12.2016,1,5,1,7
25.12.2016,1,5,1,7
26.12.2016,1,4,1,6
27.12.2016,1,4,2,7
28.12.2016,1,5,2,8
29.12.2016,1,5,2,8
30.12.2016,1,5,2,8
31.12.2016,1,5,2,8
01.01.2017,1,5,2,8
02.01.2017,1,5,2,8
03.01.2017,1,4,2,7
04.01.2017,1,4,2,7
05.01.2017,1,5,1,7
06.01.2017,1,5,2,8
07.01.2017,1,5,2,8
08.01.2017,1,5,2,8
09.01.2017,1,6,2,9
10.01.2017,1,7,1,9
11.01.2017,1,7,1,9
12.01.2017,1,7,1,9
13.01.2017,1,7,1,9
14.01.2017,1,7,1,9
15.01.2017,1,7,1,9
16.01.2017,1,7,1,9
17.01.2017,1,7,1,9
18.01.2017,1,7,2,10
19.01.2017,1,7,1,9
20.01.2017,1,7,1,9
21.01.2017,1,7,1,9
22.01.2017,1,7,1,9
23.01.2017,1,7,1,9
24.01.2017,1,7,1,9
25.01.2017,1,7,1,9
26.01.2017,1,7,1,9
27.01.2017,1,7,2,10
28.01.2017,1,7,2,10
29.01.2017,1,7,2,10
30.01.2017,1,8,1,10
31.01.2017,1,8,1,10
01.02.2017,1,8,2,11
02.02.2017,1,7,3,11
03.02.2017,1,7,2,10
04.02.2017,1,7,3,11
05.02.2017,1,6,3,10
06.02.2017,0,7,3,10
07.02.2017,0,7,3,10
08.02.2017,0,8,2,10
