skale,,,,
Date, Full Time, Part Time, One Time, Total
31.08.2018,0,0,1,1
01.09.2018,0,0,1,1
02.09.2018,0,0,1,1
03.09.2018,0,1,0,1
04.09.2018,0,1,0,1
05.09.2018,0,1,0,1
06.09.2018,0,1,0,1
07.09.2018,0,1,0,1
08.09.2018,0,1,0,1
09.09.2018,0,1,0,1
10.09.2018,0,1,0,1
11.09.2018,0,1,0,1
12.09.2018,0,1,0,1
13.09.2018,0,1,0,1
14.09.2018,0,1,0,1
15.09.2018,0,1,0,1
16.09.2018,0,1,0,1
17.09.2018,0,1,0,1
18.09.2018,0,1,0,1
19.09.2018,0,1,0,1
20.09.2018,0,1,0,1
21.09.2018,0,1,0,1
22.09.2018,0,1,1,2
23.09.2018,0,1,1,2
24.09.2018,0,1,1,2
25.09.2018,0,1,1,2
26.09.2018,0,1,1,2
27.09.2018,0,1,1,2
28.09.2018,0,1,1,2
29.09.2018,0,1,1,2
30.09.2018,0,1,1,2
01.10.2018,0,1,1,2
02.10.2018,0,1,1,2
03.10.2018,0,1,1,2
04.10.2018,0,1,1,2
05.10.2018,0,1,1,2
06.10.2018,0,1,1,2
07.10.2018,0,1,1,2
08.10.2018,0,1,1,2
09.10.2018,0,1,1,2
10.10.2018,0,1,1,2
11.10.2018,0,1,1,2
12.10.2018,0,1,1,2
13.10.2018,0,1,1,2
14.10.2018,0,1,1,2
15.10.2018,0,1,1,2
16.10.2018,0,1,1,2
17.10.2018,0,1,1,2
18.10.2018,0,1,1,2
19.10.2018,0,1,1,2
20.10.2018,0,1,0,1
21.10.2018,0,1,0,1
22.10.2018,0,1,0,1
23.10.2018,0,1,0,1
24.10.2018,0,1,0,1
25.10.2018,0,1,0,1
26.10.2018,0,1,0,1
27.10.2018,0,1,0,1
28.10.2018,0,1,0,1
29.10.2018,0,1,0,1
30.10.2018,0,1,0,1
31.10.2018,0,1,0,1
01.11.2018,0,1,1,2
02.11.2018,0,2,0,2
03.11.2018,0,2,0,2
04.11.2018,0,2,0,2
05.11.2018,0,2,0,2
06.11.2018,0,2,0,2
07.11.2018,0,2,0,2
08.11.2018,0,2,0,2
09.11.2018,0,2,0,2
10.11.2018,0,2,0,2
11.11.2018,0,2,0,2
12.11.2018,0,2,0,2
13.11.2018,0,2,0,2
14.11.2018,0,2,0,2
15.11.2018,0,2,0,2
16.11.2018,0,2,0,2
17.11.2018,0,2,0,2
18.11.2018,0,2,0,2
19.11.2018,0,2,0,2
20.11.2018,0,2,0,2
21.11.2018,0,2,0,2
22.11.2018,0,2,0,2
23.11.2018,0,2,0,2
24.11.2018,0,2,0,2
25.11.2018,0,2,0,2
26.11.2018,0,2,0,2
27.11.2018,0,2,0,2
28.11.2018,0,2,0,2
29.11.2018,0,2,0,2
30.11.2018,0,1,0,1
01.12.2018,0,1,0,1
02.12.2018,0,1,0,1
03.12.2018,0,1,0,1
04.12.2018,0,1,0,1
05.12.2018,0,2,0,2
06.12.2018,0,2,0,2
07.12.2018,0,2,0,2
08.12.2018,0,2,0,2
09.12.2018,0,2,0,2
10.12.2018,0,2,0,2
11.12.2018,0,2,0,2
12.12.2018,0,2,0,2
13.12.2018,0,2,0,2
14.12.2018,0,2,0,2
15.12.2018,0,2,0,2
16.12.2018,0,2,0,2
17.12.2018,0,2,0,2
18.12.2018,0,2,0,2
19.12.2018,0,2,0,2
20.12.2018,0,2,0,2
21.12.2018,0,2,0,2
22.12.2018,0,2,0,2
23.12.2018,0,2,0,2
24.12.2018,0,2,0,2
25.12.2018,0,2,0,2
26.12.2018,0,2,0,2
27.12.2018,0,2,0,2
28.12.2018,0,2,0,2
29.12.2018,0,2,0,2
30.12.2018,0,2,0,2
31.12.2018,0,2,0,2
01.01.2019,0,2,0,2
02.01.2019,0,1,0,1
03.01.2019,0,1,0,1
04.01.2019,0,1,0,1
05.01.2019,0,1,0,1
06.01.2019,0,1,0,1
07.01.2019,0,1,0,1
08.01.2019,0,1,0,1
09.01.2019,0,1,0,1
10.01.2019,0,1,0,1
11.01.2019,0,1,1,2
12.01.2019,0,1,1,2
13.01.2019,0,1,1,2
14.01.2019,0,1,1,2
15.01.2019,0,2,0,2
16.01.2019,0,2,0,2
17.01.2019,0,2,0,2
18.01.2019,0,2,0,2
19.01.2019,0,2,0,2
20.01.2019,0,2,0,2
21.01.2019,0,2,0,2
22.01.2019,0,2,0,2
23.01.2019,0,2,0,2
24.01.2019,0,2,0,2
25.01.2019,0,2,0,2
26.01.2019,0,2,0,2
27.01.2019,0,2,0,2
28.01.2019,0,2,0,2
29.01.2019,0,2,0,2
30.01.2019,0,2,0,2
31.01.2019,0,2,0,2
01.02.2019,0,2,1,3
02.02.2019,0,2,1,3
03.02.2019,0,2,2,4
04.02.2019,0,3,2,5
05.02.2019,0,3,2,5
06.02.2019,0,3,2,5
07.02.2019,0,3,2,5
08.02.2019,0,3,2,5
09.02.2019,0,3,2,5
10.02.2019,0,3,2,5
11.02.2019,0,3,2,5
12.02.2019,1,2,3,6
13.02.2019,1,2,3,6
14.02.2019,1,2,3,6
15.02.2019,1,2,3,6
16.02.2019,1,2,5,8
17.02.2019,1,2,5,8
18.02.2019,1,2,5,8
19.02.2019,1,2,5,8
20.02.2019,1,2,5,8
21.02.2019,1,2,5,8
22.02.2019,1,2,5,8
23.02.2019,1,2,5,8
24.02.2019,1,2,5,8
25.02.2019,1,2,5,8
26.02.2019,1,2,5,8
27.02.2019,1,3,4,8
28.02.2019,1,3,5,9
01.03.2019,1,4,4,9
02.03.2019,1,4,4,9
03.03.2019,1,4,4,9
