solana,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,2,14,5,21
02.01.2015,2,14,6,22
03.01.2015,2,13,6,21
04.01.2015,2,12,7,21
05.01.2015,2,11,7,20
06.01.2015,2,10,6,18
07.01.2015,1,11,6,18
08.01.2015,1,11,6,18
09.01.2015,1,12,6,19
10.01.2015,1,12,5,18
11.01.2015,1,12,5,18
12.01.2015,1,12,5,18
13.01.2015,1,12,6,19
14.01.2015,1,12,6,19
15.01.2015,1,15,7,23
16.01.2015,1,15,6,22
17.01.2015,1,15,6,22
18.01.2015,1,15,6,22
19.01.2015,1,15,5,21
20.01.2015,1,16,6,23
21.01.2015,1,17,5,23
22.01.2015,1,17,5,23
23.01.2015,1,18,6,25
24.01.2015,1,19,4,24
25.01.2015,1,19,4,24
26.01.2015,1,20,3,24
27.01.2015,1,19,4,24
28.01.2015,1,22,5,28
29.01.2015,1,23,5,29
30.01.2015,1,21,7,29
31.01.2015,1,21,7,29
01.02.2015,1,22,7,30
02.02.2015,1,22,7,30
03.02.2015,1,23,6,30
04.02.2015,1,24,5,30
05.02.2015,1,24,6,31
06.02.2015,1,24,6,31
07.02.2015,1,24,6,31
08.02.2015,1,24,6,31
09.02.2015,1,25,6,32
10.02.2015,1,22,6,29
11.02.2015,1,21,6,28
12.02.2015,1,22,4,27
13.02.2015,1,22,4,27
14.02.2015,1,22,4,27
15.02.2015,1,22,4,27
16.02.2015,1,22,4,27
17.02.2015,1,22,3,26
18.02.2015,1,20,3,24
19.02.2015,1,20,3,24
20.02.2015,1,19,5,25
21.02.2015,2,18,6,26
22.02.2015,2,18,7,27
23.02.2015,2,16,9,27
24.02.2015,2,17,10,29
25.02.2015,2,16,9,27
26.02.2015,2,16,9,27
27.02.2015,2,18,6,26
28.02.2015,2,19,5,26
01.03.2015,2,18,5,25
02.03.2015,2,17,6,25
03.03.2015,2,16,7,25
04.03.2015,2,16,7,25
05.03.2015,2,16,6,24
06.03.2015,2,16,8,26
07.03.2015,2,16,8,26
08.03.2015,2,16,8,26
09.03.2015,2,16,9,27
10.03.2015,2,16,9,27
11.03.2015,2,16,9,27
12.03.2015,3,15,9,27
13.03.2015,3,15,10,28
14.03.2015,3,15,10,28
15.03.2015,3,16,9,28
16.03.2015,3,17,10,30
17.03.2015,3,18,9,30
18.03.2015,2,19,11,32
19.03.2015,2,19,11,32
20.03.2015,3,18,10,31
21.03.2015,3,18,10,31
22.03.2015,3,18,9,30
23.03.2015,3,18,8,29
24.03.2015,2,20,7,29
25.03.2015,2,20,8,30
26.03.2015,2,18,8,28
27.03.2015,2,18,8,28
28.03.2015,2,17,8,27
29.03.2015,2,17,8,27
30.03.2015,2,17,8,27
31.03.2015,2,17,10,29
01.04.2015,1,19,11,31
02.04.2015,1,20,11,32
03.04.2015,1,20,11,32
04.04.2015,1,20,11,32
05.04.2015,1,20,11,32
06.04.2015,1,20,10,31
07.04.2015,1,21,10,32
08.04.2015,1,21,12,34
09.04.2015,2,20,12,34
10.04.2015,2,21,11,34
11.04.2015,2,22,12,36
12.04.2015,2,22,12,36
13.04.2015,2,22,11,35
14.04.2015,2,22,11,35
15.04.2015,3,21,10,34
16.04.2015,3,21,10,34
17.04.2015,3,19,10,32
18.04.2015,3,19,12,34
19.04.2015,3,19,12,34
20.04.2015,3,20,11,34
21.04.2015,3,19,12,34
22.04.2015,3,19,10,32
23.04.2015,3,19,10,32
24.04.2015,3,18,10,31
25.04.2015,3,18,10,31
26.04.2015,3,17,11,31
27.04.2015,3,17,12,32
28.04.2015,3,18,11,32
29.04.2015,2,19,10,31
30.04.2015,2,15,10,27
01.05.2015,2,15,10,27
02.05.2015,2,15,10,27
03.05.2015,2,15,10,27
04.05.2015,2,14,10,26
05.05.2015,2,13,10,25
06.05.2015,2,13,8,23
07.05.2015,3,12,9,24
08.05.2015,3,11,9,23
09.05.2015,2,13,8,23
10.05.2015,2,14,8,24
11.05.2015,2,15,8,25
12.05.2015,2,15,8,25
13.05.2015,2,15,9,26
14.05.2015,2,13,10,25
15.05.2015,2,15,9,26
16.05.2015,2,15,9,26
17.05.2015,2,15,9,26
18.05.2015,2,15,8,25
19.05.2015,2,15,8,25
20.05.2015,2,15,8,25
21.05.2015,2,15,8,25
22.05.2015,2,15,9,26
23.05.2015,2,15,9,26
24.05.2015,2,15,9,26
25.05.2015,2,14,8,24
26.05.2015,2,15,6,23
27.05.2015,1,15,6,22
28.05.2015,1,15,8,24
29.05.2015,1,15,9,25
30.05.2015,1,15,9,25
31.05.2015,1,15,9,25
01.06.2015,1,15,9,25
02.06.2015,1,15,9,25
03.06.2015,1,15,9,25
04.06.2015,1,15,8,24
05.06.2015,1,14,8,23
06.06.2015,1,15,8,24
07.06.2015,1,15,8,24
08.06.2015,1,15,10,26
09.06.2015,1,14,10,25
10.06.2015,1,14,9,24
11.06.2015,1,15,8,24
12.06.2015,1,15,7,23
13.06.2015,1,15,6,22
14.06.2015,1,15,6,22
15.06.2015,1,15,7,23
16.06.2015,1,15,6,22
17.06.2015,1,14,7,22
18.06.2015,1,15,10,26
19.06.2015,1,15,10,26
20.06.2015,1,15,10,26
21.06.2015,1,15,10,26
22.06.2015,1,15,11,27
23.06.2015,1,14,12,27
24.06.2015,1,14,13,28
25.06.2015,1,12,12,25
26.06.2015,1,13,10,24
27.06.2015,1,13,10,24
