stacks,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,2,3,3,8
02.01.2015,2,3,3,8
03.01.2015,2,3,3,8
04.01.2015,2,3,3,8
05.01.2015,2,3,3,8
06.01.2015,2,3,2,7
07.01.2015,2,3,2,7
08.01.2015,2,3,2,7
09.01.2015,2,3,2,7
10.01.2015,2,3,2,7
11.01.2015,2,3,2,7
12.01.2015,2,3,2,7
13.01.2015,2,3,2,7
14.01.2015,2,4,1,7
15.01.2015,2,4,1,7
16.01.2015,2,4,1,7
17.01.2015,2,4,0,6
18.01.2015,2,5,0,7
19.01.2015,2,5,0,7
20.01.2015,2,5,0,7
21.01.2015,2,5,0,7
22.01.2015,2,5,0,7
23.01.2015,2,5,0,7
24.01.2015,2,5,0,7
25.01.2015,2,5,0,7
26.01.2015,2,5,0,7
27.01.2015,2,5,0,7
28.01.2015,2,5,0,7
29.01.2015,2,5,0,7
30.01.2015,2,5,0,7
31.01.2015,2,5,0,7
01.02.2015,2,5,0,7
02.02.2015,2,4,0,6
03.02.2015,2,4,0,6
04.02.2015,2,4,0,6
05.02.2015,2,4,0,6
06.02.2015,2,4,0,6
07.02.2015,2,4,0,6
08.02.2015,2,4,0,6
09.02.2015,1,5,0,6
10.02.2015,2,4,0,6
11.02.2015,2,4,0,6
12.02.2015,2,4,0,6
13.02.2015,2,4,0,6
14.02.2015,2,4,0,6
15.02.2015,2,3,0,5
16.02.2015,2,3,0,5
17.02.2015,2,3,0,5
18.02.2015,2,3,1,6
19.02.2015,2,3,2,7
20.02.2015,2,3,2,7
21.02.2015,2,3,2,7
22.02.2015,2,2,2,6
23.02.2015,2,1,3,6
24.02.2015,2,1,3,6
25.02.2015,2,1,3,6
26.02.2015,2,1,3,6
27.02.2015,2,1,3,6
28.02.2015,2,1,3,6
01.03.2015,2,1,4,7
02.03.2015,2,1,4,7
03.03.2015,1,2,4,7
04.03.2015,1,2,4,7
05.03.2015,1,2,4,7
06.03.2015,1,2,4,7
07.03.2015,1,2,4,7
08.03.2015,1,3,4,8
09.03.2015,1,3,4,8
10.03.2015,1,3,4,8
11.03.2015,1,3,4,8
12.03.2015,1,3,4,8
13.03.2015,1,3,4,8
14.03.2015,1,3,4,8
15.03.2015,1,3,4,8
16.03.2015,1,2,4,7
17.03.2015,1,2,4,7
18.03.2015,1,2,3,6
19.03.2015,1,2,2,5
20.03.2015,1,2,2,5
21.03.2015,1,2,2,5
22.03.2015,1,3,1,5
23.03.2015,1,3,1,5
24.03.2015,1,3,1,5
25.03.2015,1,3,1,5
26.03.2015,1,3,2,6
27.03.2015,1,3,2,6
28.03.2015,1,3,2,6
29.03.2015,1,3,1,5
30.03.2015,1,3,1,5
31.03.2015,1,3,1,5
01.04.2015,1,3,1,5
02.04.2015,1,3,1,5
03.04.2015,1,3,1,5
04.04.2015,1,3,1,5
05.04.2015,1,2,1,4
06.04.2015,1,2,1,4
07.04.2015,1,2,1,4
08.04.2015,1,2,1,4
09.04.2015,1,2,1,4
10.04.2015,1,2,1,4
11.04.2015,1,2,1,4
12.04.2015,1,2,1,4
13.04.2015,1,2,1,4
14.04.2015,1,2,1,4
15.04.2015,1,2,1,4
16.04.2015,1,2,1,4
17.04.2015,1,2,1,4
18.04.2015,1,2,1,4
19.04.2015,1,2,1,4
20.04.2015,1,2,1,4
21.04.2015,1,2,1,4
22.04.2015,1,2,1,4
23.04.2015,1,2,1,4
24.04.2015,1,2,1,4
25.04.2015,1,2,1,4
26.04.2015,1,2,1,4
27.04.2015,1,2,1,4
28.04.2015,1,2,1,4
29.04.2015,1,2,2,5
30.04.2015,1,3,1,5
01.05.2015,1,3,1,5
02.05.2015,1,2,1,4
03.05.2015,1,3,1,5
04.05.2015,1,3,2,6
05.05.2015,1,3,3,7
06.05.2015,1,3,3,7
07.05.2015,1,3,4,8
08.05.2015,1,4,3,8
09.05.2015,1,4,3,8
10.05.2015,1,4,3,8
11.05.2015,1,4,3,8
12.05.2015,1,4,4,9
13.05.2015,1,5,3,9
14.05.2015,1,5,3,9
15.05.2015,1,5,3,9
16.05.2015,1,5,3,9
17.05.2015,1,5,3,9
18.05.2015,1,5,3,9
19.05.2015,1,5,3,9
20.05.2015,1,5,3,9
21.05.2015,1,5,2,8
22.05.2015,1,5,2,8
23.05.2015,1,5,2,8
24.05.2015,1,5,2,8
25.05.2015,1,5,2,8
