starknet,,,,
Date, Full Time, Part Time, One Time, Total
06.05.2015,0,0,1,1
07.05.2015,0,0,1,1
08.05.2015,0,0,1,1
09.05.2015,0,0,1,1
10.05.2015,0,0,1,1
11.05.2015,0,0,1,1
12.05.2015,0,1,0,1
13.05.2015,0,1,0,1
14.05.2015,0,1,0,1
15.05.2015,0,1,0,1
16.05.2015,0,1,0,1
17.05.2015,0,1,0,1
18.05.2015,0,1,0,1
19.05.2015,0,1,0,1
20.05.2015,0,1,0,1
21.05.2015,0,1,0,1
22.05.2015,0,1,0,1
23.05.2015,0,1,0,1
24.05.2015,0,1,0,1
25.05.2015,0,1,0,1
26.05.2015,0,1,0,1
27.05.2015,0,1,0,1
28.05.2015,0,1,0,1
29.05.2015,0,1,0,1
30.05.2015,0,1,0,1
31.05.2015,0,1,0,1
01.06.2015,0,1,0,1
02.06.2015,0,1,0,1
03.06.2015,0,1,0,1
04.06.2015,0,1,0,1
05.06.2015,0,1,0,1
06.06.2015,0,1,0,1
07.06.2015,0,1,0,1
08.06.2015,0,1,0,1
24.08.2015,0,0,1,1
25.08.2015,0,0,1,1
26.08.2015,0,0,1,1
27.08.2015,0,0,1,1
28.08.2015,0,0,1,1
29.08.2015,0,0,1,1
30.08.2015,0,0,1,1
31.08.2015,0,0,1,1
01.09.2015,0,0,1,1
02.09.2015,0,0,1,1
03.09.2015,0,0,1,1
04.09.2015,0,0,1,1
05.09.2015,0,0,1,1
06.09.2015,0,0,1,1
07.09.2015,0,0,1,1
08.09.2015,0,0,1,1
09.09.2015,0,0,1,1
10.09.2015,0,0,1,1
11.09.2015,0,0,1,1
12.09.2015,0,0,1,1
13.09.2015,0,0,1,1
14.09.2015,0,1,0,1
15.09.2015,0,1,0,1
16.09.2015,0,1,0,1
17.09.2015,0,1,0,1
18.09.2015,0,1,0,1
19.09.2015,0,1,0,1
20.09.2015,0,1,0,1
21.09.2015,0,1,0,1
22.09.2015,0,1,0,1
23.09.2015,0,1,0,1
24.09.2015,0,1,0,1
25.09.2015,0,1,0,1
26.09.2015,0,1,0,1
27.09.2015,0,1,0,1
28.09.2015,0,1,0,1
29.09.2015,0,1,0,1
30.09.2015,0,1,0,1
01.10.2015,0,1,0,1
02.10.2015,0,1,0,1
03.10.2015,0,1,0,1
04.10.2015,0,1,0,1
05.10.2015,0,1,0,1
06.10.2015,0,1,0,1
07.10.2015,0,1,0,1
08.10.2015,0,1,0,1
09.10.2015,0,1,0,1
10.10.2015,0,1,0,1
11.10.2015,0,1,0,1
08.11.2015,0,1,0,1
09.11.2015,0,1,0,1
