stellar,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,6,12,3,21
02.01.2015,6,13,2,21
03.01.2015,6,13,2,21
04.01.2015,6,13,2,21
05.01.2015,6,13,2,21
06.01.2015,6,11,2,19
07.01.2015,6,12,2,20
08.01.2015,6,12,2,20
09.01.2015,6,12,2,20
10.01.2015,6,12,2,20
11.01.2015,6,12,2,20
12.01.2015,7,11,2,20
13.01.2015,7,10,2,19
14.01.2015,8,8,3,19
15.01.2015,7,10,2,19
16.01.2015,7,10,2,19
17.01.2015,7,10,2,19
18.01.2015,7,10,2,19
19.01.2015,7,10,2,19
20.01.2015,7,11,1,19
21.01.2015,7,11,1,19
22.01.2015,9,9,1,19
23.01.2015,9,9,1,19
24.01.2015,9,9,1,19
25.01.2015,9,9,1,19
26.01.2015,9,9,1,19
27.01.2015,9,9,1,19
28.01.2015,9,9,1,19
29.01.2015,9,9,2,20
30.01.2015,10,8,2,20
31.01.2015,10,8,2,20
01.02.2015,10,8,2,20
02.02.2015,10,8,2,20
03.02.2015,10,8,2,20
04.02.2015,10,7,0,17
05.02.2015,10,7,1,18
06.02.2015,10,7,1,18
07.02.2015,10,7,1,18
08.02.2015,10,6,2,18
09.02.2015,10,7,1,18
10.02.2015,10,7,2,19
11.02.2015,10,8,1,19
12.02.2015,11,7,1,19
13.02.2015,11,7,1,19
14.02.2015,11,7,1,19
15.02.2015,11,7,1,19
16.02.2015,11,7,1,19
17.02.2015,10,9,0,19
18.02.2015,10,7,0,17
19.02.2015,9,8,1,18
20.02.2015,10,7,1,18
21.02.2015,10,7,1,18
22.02.2015,10,7,1,18
23.02.2015,10,7,2,19
24.02.2015,10,7,4,21
25.02.2015,10,7,4,21
26.02.2015,10,7,4,21
27.02.2015,10,8,3,21
28.02.2015,10,8,3,21
01.03.2015,10,8,3,21
02.03.2015,10,8,3,21
03.03.2015,10,8,3,21
04.03.2015,10,8,3,21
05.03.2015,10,8,4,22
06.03.2015,9,9,3,21
07.03.2015,9,9,3,21
08.03.2015,9,10,3,22
09.03.2015,8,11,4,23
10.03.2015,9,10,4,23
11.03.2015,10,9,4,23
12.03.2015,10,9,4,23
13.03.2015,10,9,4,23
14.03.2015,10,9,4,23
15.03.2015,10,9,4,23
16.03.2015,10,9,4,23
17.03.2015,11,8,4,23
18.03.2015,11,9,3,23
19.03.2015,11,9,3,23
20.03.2015,11,10,3,24
21.03.2015,11,10,3,24
22.03.2015,11,10,3,24
23.03.2015,11,10,2,23
24.03.2015,11,10,1,22
25.03.2015,11,10,2,23
26.03.2015,11,10,2,23
27.03.2015,11,9,2,22
28.03.2015,11,9,2,22
29.03.2015,11,9,2,22
30.03.2015,11,9,2,22
31.03.2015,11,10,2,23
01.04.2015,11,10,2,23
02.04.2015,11,10,2,23
03.04.2015,12,10,1,23
04.04.2015,12,10,1,23
05.04.2015,12,9,2,23
06.04.2015,11,10,1,22
07.04.2015,12,9,1,22
