sui,,,,
Date, Full Time, Part Time, One Time, Total
06.05.2019,0,0,2,2
07.05.2019,0,1,1,2
08.05.2019,0,1,1,2
09.05.2019,0,1,1,2
10.05.2019,0,1,1,2
11.05.2019,0,1,1,2
12.05.2019,0,1,1,2
13.05.2019,0,1,1,2
14.05.2019,0,1,1,2
15.05.2019,0,1,1,2
16.05.2019,0,1,1,2
17.05.2019,0,1,1,2
18.05.2019,0,1,1,2
19.05.2019,0,1,1,2
20.05.2019,0,1,1,2
21.05.2019,0,1,1,2
22.05.2019,0,1,1,2
23.05.2019,0,1,1,2
24.05.2019,0,1,1,2
25.05.2019,0,1,1,2
26.05.2019,0,1,1,2
27.05.2019,0,1,1,2
28.05.2019,0,1,1,2
29.05.2019,0,1,1,2
30.05.2019,0,1,1,2
31.05.2019,0,1,1,2
01.06.2019,0,1,1,2
02.06.2019,0,1,1,2
03.06.2019,0,1,0,1
04.06.2019,0,1,0,1
05.06.2019,0,1,0,1
06.06.2019,0,1,0,1
07.06.2019,0,1,0,1
08.06.2019,0,1,0,1
09.06.2019,0,1,0,1
19.06.2019,0,1,0,1
20.06.2019,0,1,0,1
21.06.2019,0,1,0,1
22.06.2019,0,1,0,1
23.06.2019,0,1,0,1
24.06.2019,0,1,0,1
25.06.2019,0,1,0,1
26.06.2019,0,1,0,1
27.06.2019,0,1,0,1
28.06.2019,0,1,0,1
29.06.2019,0,1,0,1
30.06.2019,0,1,0,1
01.07.2019,0,1,0,1
02.07.2019,0,1,0,1
03.07.2019,0,1,0,1
04.07.2019,0,1,0,1
05.07.2019,0,2,0,2
06.07.2019,0,2,0,2
07.07.2019,0,2,0,2
08.07.2019,0,2,0,2
09.07.2019,0,2,0,2
10.07.2019,0,2,0,2
11.07.2019,0,2,0,2
12.07.2019,0,2,0,2
13.07.2019,0,2,0,2
14.07.2019,0,2,0,2
15.07.2019,0,2,0,2
16.07.2019,0,2,0,2
17.07.2019,0,1,0,1
18.07.2019,0,1,0,1
19.07.2019,0,1,0,1
20.07.2019,0,1,0,1
21.07.2019,0,1,0,1
22.07.2019,0,1,0,1
23.07.2019,0,1,0,1
24.07.2019,0,1,0,1
25.07.2019,0,1,0,1
26.07.2019,0,1,0,1
27.07.2019,0,1,0,1
28.07.2019,0,1,0,1
29.07.2019,0,1,0,1
30.07.2019,0,1,0,1
31.07.2019,0,1,0,1
01.08.2019,0,1,0,1
19.01.2020,0,0,1,1
20.01.2020,0,0,1,1
21.01.2020,0,0,1,1
22.01.2020,0,0,1,1
23.01.2020,0,0,1,1
24.01.2020,0,0,1,1
25.01.2020,0,0,1,1
26.01.2020,0,0,1,1
27.01.2020,0,0,1,1
28.01.2020,0,0,1,1
29.01.2020,0,0,1,1
30.01.2020,0,0,1,1
31.01.2020,0,0,1,1
01.02.2020,0,0,1,1
02.02.2020,0,0,1,1
03.02.2020,0,0,1,1
04.02.2020,0,0,1,1
05.02.2020,0,0,1,1
06.02.2020,0,0,2,2
07.02.2020,0,0,2,2
08.02.2020,0,0,2,2
09.02.2020,0,0,2,2
10.02.2020,0,0,2,2
11.02.2020,0,1,1,2
12.02.2020,0,1,1,2
13.02.2020,0,1,1,2
14.02.2020,0,2,0,2
15.02.2020,0,2,0,2
16.02.2020,0,2,0,2
17.02.2020,0,2,0,2
18.02.2020,0,2,0,2
19.02.2020,0,2,0,2
20.02.2020,0,2,0,2
21.02.2020,0,2,0,2
22.02.2020,0,2,0,2
23.02.2020,0,2,0,2
24.02.2020,0,2,0,2
25.02.2020,0,2,0,2
26.02.2020,0,2,0,2
27.02.2020,0,2,0,2
28.02.2020,0,2,0,2
29.02.2020,0,2,0,2
01.03.2020,0,2,0,2
02.03.2020,0,2,0,2
03.03.2020,0,2,0,2
04.03.2020,0,2,0,2
05.03.2020,0,2,0,2
06.03.2020,0,2,0,2
07.03.2020,0,2,0,2
08.03.2020,0,2,0,2
09.03.2020,0,2,0,2
10.03.2020,0,1,0,1
11.03.2020,0,1,0,1
12.03.2020,0,1,0,1
08.05.2020,0,0,1,1
09.05.2020,0,0,1,1
10.05.2020,0,0,1,1
11.05.2020,0,0,1,1
12.05.2020,0,0,1,1
13.05.2020,0,0,1,1
14.05.2020,0,0,1,1
15.05.2020,0,0,1,1
16.05.2020,0,0,1,1
17.05.2020,0,0,1,1
18.05.2020,0,0,1,1
19.05.2020,0,0,1,1
20.05.2020,0,0,1,1
21.05.2020,0,0,1,1
22.05.2020,0,0,1,1
23.05.2020,0,0,1,1
24.05.2020,0,0,1,1
25.05.2020,0,0,1,1
26.05.2020,0,0,1,1
27.05.2020,0,0,1,1
28.05.2020,0,0,1,1
29.05.2020,0,0,1,1
30.05.2020,0,0,1,1
31.05.2020,0,0,1,1
01.06.2020,0,0,1,1
02.06.2020,0,0,1,1
03.06.2020,0,0,1,1
04.06.2020,0,0,1,1
26.07.2020,0,0,1,1
27.07.2020,0,0,1,1
28.07.2020,0,1,0,1
29.07.2020,0,1,0,1
30.07.2020,0,1,0,1
31.07.2020,0,1,0,1
01.08.2020,0,1,0,1
02.08.2020,0,1,1,2
03.08.2020,0,2,0,2
04.08.2020,0,2,0,2
05.08.2020,0,2,0,2
06.08.2020,0,2,0,2
07.08.2020,0,2,0,2
08.08.2020,0,2,0,2
09.08.2020,0,2,0,2
10.08.2020,0,2,0,2
11.08.2020,0,2,0,2
12.08.2020,0,2,0,2
13.08.2020,0,2,0,2
14.08.2020,0,2,0,2
15.08.2020,0,2,0,2
16.08.2020,0,2,0,2
17.08.2020,0,2,0,2
18.08.2020,0,2,0,2
19.08.2020,0,2,0,2
20.08.2020,0,2,0,2
21.08.2020,0,2,0,2
22.08.2020,0,2,0,2
23.08.2020,0,2,0,2
24.08.2020,0,2,0,2
25.08.2020,1,1,0,2
26.08.2020,1,1,0,2
27.08.2020,1,1,0,2
28.08.2020,1,1,0,2
29.08.2020,1,1,0,2
30.08.2020,1,1,0,2
31.08.2020,2,0,0,2
01.09.2020,2,0,0,2
02.09.2020,2,0,0,2
03.09.2020,2,0,0,2
04.09.2020,2,0,0,2
05.09.2020,2,0,0,2
06.09.2020,2,0,0,2
07.09.2020,2,0,0,2
08.09.2020,2,0,0,2
09.09.2020,2,0,0,2
10.09.2020,2,0,0,2
11.09.2020,2,0,0,2
12.09.2020,2,0,0,2
13.09.2020,2,0,0,2
14.09.2020,2,0,0,2
15.09.2020,1,1,0,2
16.09.2020,1,1,0,2
17.09.2020,1,1,0,2
18.09.2020,2,0,0,2
19.09.2020,2,0,0,2
20.09.2020,2,0,0,2
21.09.2020,2,0,0,2
22.09.2020,2,0,0,2
23.09.2020,2,0,0,2
24.09.2020,2,0,0,2
25.09.2020,2,0,0,2
26.09.2020,2,0,0,2
27.09.2020,2,0,0,2
28.09.2020,1,0,0,1
29.09.2020,1,0,0,1
30.09.2020,1,0,0,1
01.10.2020,2,0,0,2
02.10.2020,2,0,0,2
03.10.2020,2,0,0,2
04.10.2020,2,0,0,2
05.10.2020,2,0,0,2
06.10.2020,2,0,0,2
07.10.2020,2,0,0,2
08.10.2020,2,0,0,2
09.10.2020,2,0,0,2
10.10.2020,2,0,0,2
11.10.2020,2,0,0,2
12.10.2020,2,0,0,2
13.10.2020,1,1,0,2
14.10.2020,1,1,0,2
15.10.2020,1,1,0,2
16.10.2020,2,0,0,2
17.10.2020,2,0,0,2
18.10.2020,2,0,0,2
19.10.2020,2,0,0,2
20.10.2020,2,0,0,2
21.10.2020,2,0,0,2
22.10.2020,2,0,0,2
23.10.2020,2,0,0,2
24.10.2020,2,0,0,2
25.10.2020,2,0,0,2
26.10.2020,2,0,0,2
27.10.2020,2,0,0,2
28.10.2020,2,0,0,2
29.10.2020,2,0,0,2
30.10.2020,2,0,0,2
31.10.2020,2,0,0,2
01.11.2020,2,0,0,2
02.11.2020,2,0,0,2
03.11.2020,2,0,0,2
04.11.2020,2,0,0,2
05.11.2020,2,0,0,2
06.11.2020,2,0,0,2
07.11.2020,2,0,0,2
08.11.2020,2,0,0,2
09.11.2020,1,1,0,2
10.11.2020,1,1,0,2
11.11.2020,1,1,0,2
12.11.2020,0,2,0,2
13.11.2020,0,2,0,2
14.11.2020,1,1,0,2
15.11.2020,1,1,0,2
16.11.2020,1,1,1,3
17.11.2020,1,1,1,3
18.11.2020,1,2,0,3
19.11.2020,1,2,0,3
20.11.2020,1,2,0,3
21.11.2020,1,2,0,3
22.11.2020,1,2,0,3
23.11.2020,1,2,1,4
24.11.2020,1,2,1,4
25.11.2020,1,2,1,4
26.11.2020,1,2,1,4
27.11.2020,1,2,1,4
28.11.2020,1,2,1,4
29.11.2020,1,2,1,4
30.11.2020,1,3,0,4
01.12.2020,1,3,0,4
02.12.2020,1,3,0,4
03.12.2020,1,3,0,4
04.12.2020,1,3,0,4
05.12.2020,1,3,0,4
06.12.2020,1,3,0,4
07.12.2020,1,3,0,4
08.12.2020,1,3,0,4
09.12.2020,1,3,0,4
10.12.2020,1,3,0,4
11.12.2020,1,3,0,4
12.12.2020,1,3,0,4
13.12.2020,1,3,0,4
14.12.2020,1,3,0,4
15.12.2020,1,3,0,4
16.12.2020,1,3,0,4
17.12.2020,1,3,0,4
18.12.2020,1,3,0,4
19.12.2020,1,3,0,4
20.12.2020,1,3,0,4
21.12.2020,1,3,0,4
22.12.2020,1,3,0,4
23.12.2020,1,3,0,4
24.12.2020,1,3,0,4
25.12.2020,1,3,0,4
26.12.2020,1,3,0,4
27.12.2020,1,3,0,4
28.12.2020,1,3,0,4
29.12.2020,1,3,0,4
30.12.2020,1,3,0,4
31.12.2020,1,3,0,4
01.01.2021,1,3,0,4
02.01.2021,1,3,0,4
03.01.2021,1,3,0,4
04.01.2021,1,2,0,3
05.01.2021,0,2,0,2
06.01.2021,0,2,0,2
07.01.2021,0,2,0,2
08.01.2021,0,2,0,2
09.01.2021,0,2,0,2
10.01.2021,0,2,0,2
11.01.2021,1,2,0,3
12.01.2021,1,2,0,3
13.01.2021,1,2,0,3
14.01.2021,1,2,0,3
15.01.2021,1,2,0,3
16.01.2021,1,2,0,3
17.01.2021,1,2,0,3
18.01.2021,1,2,0,3
19.01.2021,1,2,0,3
20.01.2021,1,2,0,3
21.01.2021,1,2,0,3
22.01.2021,1,2,0,3
23.01.2021,1,2,1,4
24.01.2021,1,2,1,4
25.01.2021,1,2,1,4
26.01.2021,1,2,1,4
27.01.2021,1,2,1,4
28.01.2021,1,2,1,4
29.01.2021,1,2,1,4
30.01.2021,1,2,1,4
31.01.2021,1,2,1,4
01.02.2021,1,2,1,4
02.02.2021,1,2,1,4
03.02.2021,1,2,1,4
04.02.2021,1,2,1,4
05.02.2021,1,2,2,5
06.02.2021,1,3,1,5
07.02.2021,1,3,1,5
08.02.2021,1,3,1,5
09.02.2021,1,3,1,5
10.02.2021,1,3,1,5
11.02.2021,1,3,1,5
12.02.2021,1,3,1,5
13.02.2021,1,3,1,5
14.02.2021,1,3,1,5
15.02.2021,1,3,1,5
16.02.2021,1,3,1,5
17.02.2021,1,3,1,5
18.02.2021,1,3,1,5
19.02.2021,1,3,1,5
20.02.2021,1,3,0,4
21.02.2021,1,3,0,4
22.02.2021,1,3,0,4
23.02.2021,1,3,0,4
24.02.2021,1,3,0,4
25.02.2021,0,4,0,4
26.02.2021,1,3,1,5
27.02.2021,1,3,1,5
28.02.2021,1,3,1,5
01.03.2021,1,3,1,5
02.03.2021,1,3,1,5
03.03.2021,1,2,1,4
04.03.2021,1,2,1,4
05.03.2021,1,2,1,4
06.03.2021,1,1,1,3
07.03.2021,1,1,1,3
08.03.2021,1,1,1,3
09.03.2021,1,1,1,3
10.03.2021,1,0,1,2
11.03.2021,1,0,1,2
12.03.2021,0,2,1,3
13.03.2021,0,2,1,3
14.03.2021,0,2,1,3
15.03.2021,0,2,1,3
16.03.2021,1,1,1,3
17.03.2021,1,1,1,3
18.03.2021,1,1,1,3
19.03.2021,1,1,1,3
20.03.2021,1,1,1,3
21.03.2021,1,1,1,3
22.03.2021,1,1,1,3
23.03.2021,1,2,2,5
24.03.2021,1,3,1,5
25.03.2021,0,4,1,5
26.03.2021,1,3,0,4
27.03.2021,1,3,0,4
28.03.2021,1,3,0,4
29.03.2021,1,3,0,4
30.03.2021,1,3,0,4
31.03.2021,1,3,0,4
01.04.2021,1,3,0,4
02.04.2021,1,3,0,4
03.04.2021,1,3,0,4
04.04.2021,1,3,0,4
05.04.2021,1,3,0,4
06.04.2021,1,3,0,4
07.04.2021,1,3,0,4
08.04.2021,1,3,0,4
09.04.2021,1,3,0,4
10.04.2021,1,3,0,4
11.04.2021,1,3,0,4
12.04.2021,1,3,1,5
13.04.2021,1,3,1,5
14.04.2021,1,3,1,5
15.04.2021,1,4,2,7
16.04.2021,1,4,2,7
17.04.2021,1,4,2,7
18.04.2021,1,4,2,7
19.04.2021,1,3,2,6
20.04.2021,1,3,2,6
21.04.2021,1,3,2,6
22.04.2021,0,4,2,6
23.04.2021,0,4,3,7
24.04.2021,0,4,3,7
25.04.2021,0,4,3,7
26.04.2021,0,4,2,6
27.04.2021,0,5,3,8
28.04.2021,0,4,4,8
29.04.2021,0,5,3,8
30.04.2021,0,5,3,8
01.05.2021,0,5,3,8
02.05.2021,0,5,3,8
03.05.2021,0,5,3,8
04.05.2021,0,5,3,8
05.05.2021,0,5,4,9
06.05.2021,0,5,4,9
07.05.2021,0,6,4,10
08.05.2021,0,7,3,10
09.05.2021,0,7,3,10
10.05.2021,0,7,2,9
11.05.2021,0,7,3,10
12.05.2021,0,7,3,10
13.05.2021,0,7,3,10
14.05.2021,0,7,3,10
15.05.2021,0,7,3,10
16.05.2021,0,7,3,10
17.05.2021,0,6,3,9
18.05.2021,0,6,3,9
19.05.2021,0,6,3,9
20.05.2021,0,6,3,9
21.05.2021,0,6,3,9
22.05.2021,0,6,3,9
23.05.2021,0,6,3,9
24.05.2021,0,6,3,9
25.05.2021,0,7,2,9
26.05.2021,0,7,3,10
27.05.2021,0,8,2,10
28.05.2021,0,8,2,10
29.05.2021,0,8,2,10
30.05.2021,0,8,2,10
31.05.2021,0,9,3,12
01.06.2021,0,10,2,12
02.06.2021,0,10,2,12
03.06.2021,0,10,2,12
04.06.2021,0,10,2,12
05.06.2021,1,8,3,12
06.06.2021,1,9,2,12
07.06.2021,1,9,2,12
08.06.2021,1,9,3,13
09.06.2021,1,9,3,13
10.06.2021,1,9,3,13
11.06.2021,1,10,2,13
12.06.2021,1,10,2,13
13.06.2021,1,10,2,13
14.06.2021,1,10,2,13
15.06.2021,1,10,3,14
16.06.2021,1,10,3,14
17.06.2021,1,11,2,14
18.06.2021,1,11,2,14
19.06.2021,1,11,2,14
20.06.2021,1,11,2,14
21.06.2021,1,11,2,14
22.06.2021,1,11,2,14
23.06.2021,1,11,1,13
24.06.2021,1,11,1,13
25.06.2021,2,10,1,13
26.06.2021,2,10,1,13
27.06.2021,2,10,1,13
28.06.2021,3,9,1,13
29.06.2021,3,8,1,12
30.06.2021,3,8,1,12
01.07.2021,3,7,1,11
02.07.2021,3,7,1,11
03.07.2021,3,7,0,10
04.07.2021,3,7,0,10
05.07.2021,4,6,0,10
06.07.2021,3,7,0,10
07.07.2021,3,7,0,10
08.07.2021,3,7,1,11
09.07.2021,3,6,1,10
10.07.2021,3,6,1,10
11.07.2021,3,6,1,10
12.07.2021,3,6,1,10
13.07.2021,3,6,1,10
14.07.2021,3,6,1,10
15.07.2021,3,5,3,11
16.07.2021,3,5,3,11
17.07.2021,3,5,3,11
18.07.2021,3,5,3,11
19.07.2021,3,5,3,11
20.07.2021,3,5,3,11
21.07.2021,3,5,3,11
22.07.2021,2,6,3,11
23.07.2021,4,4,4,12
24.07.2021,4,4,4,12
25.07.2021,4,4,5,13
26.07.2021,4,4,5,13
27.07.2021,3,6,5,14
28.07.2021,3,6,5,14
29.07.2021,4,6,4,14
30.07.2021,4,8,2,14
31.07.2021,4,8,2,14
01.08.2021,4,8,2,14
02.08.2021,5,7,2,14
03.08.2021,5,7,2,14
04.08.2021,5,7,2,14
05.08.2021,5,7,3,15
06.08.2021,5,7,3,15
07.08.2021,5,7,3,15
08.08.2021,5,7,3,15
09.08.2021,5,7,3,15
10.08.2021,5,7,3,15
11.08.2021,5,7,3,15
12.08.2021,4,8,1,13
13.08.2021,4,8,1,13
14.08.2021,4,8,1,13
15.08.2021,4,8,1,13
16.08.2021,4,8,1,13
17.08.2021,4,8,1,13
18.08.2021,4,8,1,13
19.08.2021,3,9,1,13
20.08.2021,5,7,2,14
21.08.2021,5,7,3,15
22.08.2021,5,7,3,15
23.08.2021,5,8,2,15
24.08.2021,5,8,2,15
25.08.2021,5,8,2,15
26.08.2021,5,8,2,15
27.08.2021,6,7,2,15
28.08.2021,6,7,2,15
29.08.2021,6,7,2,15
30.08.2021,6,8,1,15
31.08.2021,7,7,1,15
01.09.2021,7,7,1,15
02.09.2021,7,6,0,13
03.09.2021,7,6,0,13
04.09.2021,7,6,0,13
05.09.2021,7,6,0,13
06.09.2021,7,6,1,14
07.09.2021,7,6,2,15
08.09.2021,6,8,1,15
09.09.2021,5,9,2,16
10.09.2021,5,10,1,16
11.09.2021,5,10,1,16
12.09.2021,5,10,1,16
13.09.2021,5,10,1,16
14.09.2021,5,10,1,16
15.09.2021,5,10,1,16
16.09.2021,4,10,1,15
17.09.2021,5,9,1,15
18.09.2021,5,9,1,15
19.09.2021,5,9,1,15
20.09.2021,5,9,2,16
21.09.2021,4,11,1,16
22.09.2021,4,11,2,17
23.09.2021,4,12,1,17
24.09.2021,4,12,1,17
25.09.2021,4,12,1,17
26.09.2021,4,12,1,17
27.09.2021,5,11,1,17
28.09.2021,6,10,1,17
29.09.2021,6,10,1,17
30.09.2021,6,10,2,18
01.10.2021,6,11,1,18
02.10.2021,6,11,1,18
03.10.2021,6,11,1,18
04.10.2021,6,11,1,18
05.10.2021,6,11,0,17
06.10.2021,5,12,0,17
07.10.2021,5,12,1,18
08.10.2021,5,13,0,18
09.10.2021,5,13,0,18
10.10.2021,5,13,0,18
11.10.2021,6,12,0,18
12.10.2021,5,13,1,19
13.10.2021,5,13,1,19
14.10.2021,5,13,1,19
15.10.2021,5,13,3,21
16.10.2021,5,13,3,21
17.10.2021,5,13,3,21
18.10.2021,5,12,3,20
19.10.2021,6,11,3,20
20.10.2021,6,11,3,20
21.10.2021,6,10,3,19
22.10.2021,6,11,2,19
23.10.2021,6,11,2,19
