synthetix,,,,
Date, Full Time, Part Time, One Time, Total
12.09.2017,0,0,1,1
13.09.2017,0,0,1,1
14.09.2017,0,0,1,1
15.09.2017,0,0,1,1
16.09.2017,0,1,0,1
17.09.2017,0,1,0,1
18.09.2017,0,1,0,1
19.09.2017,0,1,0,1
20.09.2017,0,1,0,1
21.09.2017,0,1,0,1
22.09.2017,0,1,0,1
23.09.2017,0,1,0,1
24.09.2017,0,1,0,1
25.09.2017,0,1,0,1
26.09.2017,0,1,0,1
27.09.2017,0,1,0,1
28.09.2017,0,1,0,1
29.09.2017,0,1,1,2
30.09.2017,0,1,1,2
01.10.2017,0,1,1,2
02.10.2017,0,1,2,3
03.10.2017,0,2,1,3
04.10.2017,0,2,1,3
05.10.2017,0,2,1,3
06.10.2017,0,2,1,3
07.10.2017,0,3,0,3
08.10.2017,0,3,0,3
09.10.2017,0,3,0,3
10.10.2017,0,3,0,3
11.10.2017,0,3,0,3
12.10.2017,0,3,0,3
13.10.2017,0,3,0,3
14.10.2017,1,2,0,3
15.10.2017,1,2,0,3
16.10.2017,1,2,0,3
17.10.2017,1,2,1,4
18.10.2017,1,3,0,4
19.10.2017,1,3,0,4
20.10.2017,1,3,0,4
21.10.2017,1,3,0,4
22.10.2017,1,3,0,4
23.10.2017,1,3,0,4
24.10.2017,1,3,0,4
25.10.2017,1,3,0,4
26.10.2017,1,3,0,4
27.10.2017,1,3,0,4
28.10.2017,1,3,0,4
29.10.2017,1,3,0,4
30.10.2017,1,3,0,4
31.10.2017,2,2,0,4
01.11.2017,2,2,0,4
02.11.2017,2,2,0,4
03.11.2017,2,2,0,4
04.11.2017,2,2,0,4
05.11.2017,2,2,0,4
06.11.2017,2,2,0,4
07.11.2017,2,2,0,4
08.11.2017,2,2,0,4
09.11.2017,2,2,0,4
10.11.2017,2,2,0,4
11.11.2017,2,2,0,4
12.11.2017,2,2,0,4
13.11.2017,2,2,0,4
14.11.2017,2,2,0,4
15.11.2017,2,1,0,3
16.11.2017,2,1,0,3
17.11.2017,2,1,0,3
18.11.2017,2,1,0,3
19.11.2017,2,1,0,3
20.11.2017,2,1,0,3
21.11.2017,2,1,0,3
22.11.2017,2,1,0,3
23.11.2017,2,1,0,3
24.11.2017,2,1,0,3
25.11.2017,2,1,0,3
26.11.2017,2,1,0,3
27.11.2017,2,1,0,3
28.11.2017,2,1,0,3
29.11.2017,2,1,0,3
30.11.2017,2,1,0,3
01.12.2017,2,1,0,3
02.12.2017,2,1,0,3
03.12.2017,2,1,0,3
04.12.2017,2,1,0,3
05.12.2017,2,1,0,3
06.12.2017,2,1,0,3
07.12.2017,2,1,0,3
08.12.2017,2,1,1,4
09.12.2017,2,1,1,4
10.12.2017,2,1,1,4
11.12.2017,2,2,0,4
12.12.2017,2,2,0,4
13.12.2017,2,2,0,4
14.12.2017,2,2,0,4
15.12.2017,2,2,0,4
16.12.2017,2,2,0,4
17.12.2017,2,2,0,4
18.12.2017,2,2,0,4
19.12.2017,2,2,0,4
20.12.2017,2,2,0,4
21.12.2017,2,2,0,4
22.12.2017,2,2,0,4
23.12.2017,2,2,0,4
24.12.2017,2,2,0,4
25.12.2017,2,2,0,4
26.12.2017,2,2,0,4
27.12.2017,2,2,0,4
28.12.2017,2,2,0,4
29.12.2017,2,2,0,4
30.12.2017,2,2,0,4
31.12.2017,2,2,0,4
01.01.2018,2,2,0,4
02.01.2018,2,2,0,4
03.01.2018,2,2,0,4
04.01.2018,2,2,0,4
05.01.2018,2,2,0,4
06.01.2018,2,2,0,4
07.01.2018,2,2,0,4
08.01.2018,3,1,0,4
09.01.2018,3,1,0,4
10.01.2018,3,1,0,4
11.01.2018,3,1,0,4
12.01.2018,2,2,0,4
13.01.2018,2,2,0,4
14.01.2018,2,2,0,4
15.01.2018,2,2,0,4
16.01.2018,2,2,0,4
17.01.2018,2,2,0,4
18.01.2018,3,1,1,5
19.01.2018,3,1,1,5
20.01.2018,3,1,1,5
21.01.2018,3,1,1,5
22.01.2018,3,1,1,5
23.01.2018,3,1,1,5
24.01.2018,3,1,1,5
25.01.2018,3,1,1,5
26.01.2018,3,1,1,5
27.01.2018,3,1,1,5
28.01.2018,3,1,1,5
29.01.2018,3,1,2,6
30.01.2018,3,2,1,6
31.01.2018,3,2,1,6
01.02.2018,3,2,1,6
02.02.2018,3,2,1,6
03.02.2018,3,2,1,6
04.02.2018,3,2,1,6
05.02.2018,3,2,1,6
06.02.2018,3,2,1,6
07.02.2018,3,2,1,6
08.02.2018,3,2,1,6
09.02.2018,2,3,1,6
10.02.2018,2,3,1,6
11.02.2018,2,3,1,6
12.02.2018,2,3,1,6
13.02.2018,2,3,1,6
14.02.2018,2,3,1,6
15.02.2018,3,2,0,5
16.02.2018,3,2,0,5
17.02.2018,3,2,0,5
18.02.2018,3,2,0,5
19.02.2018,3,2,0,5
20.02.2018,3,2,0,5
21.02.2018,3,2,0,5
22.02.2018,3,2,0,5
23.02.2018,3,2,0,5
24.02.2018,3,2,0,5
25.02.2018,3,2,0,5
26.02.2018,3,2,0,5
27.02.2018,3,2,0,5
28.02.2018,3,2,0,5
01.03.2018,3,2,0,5
02.03.2018,3,2,0,5
03.03.2018,3,2,0,5
04.03.2018,3,2,0,5
05.03.2018,3,1,0,4
06.03.2018,3,1,0,4
07.03.2018,3,1,0,4
08.03.2018,3,1,0,4
09.03.2018,2,2,0,4
10.03.2018,2,2,0,4
11.03.2018,2,2,0,4
12.03.2018,2,2,0,4
13.03.2018,2,2,0,4
14.03.2018,1,3,0,4
15.03.2018,1,3,0,4
16.03.2018,1,3,0,4
17.03.2018,1,3,0,4
18.03.2018,1,3,0,4
19.03.2018,1,3,0,4
20.03.2018,1,3,0,4
21.03.2018,2,2,0,4
22.03.2018,2,2,0,4
23.03.2018,2,2,0,4
24.03.2018,2,2,0,4
25.03.2018,2,2,0,4
26.03.2018,3,1,0,4
27.03.2018,3,1,0,4
28.03.2018,2,1,0,3
29.03.2018,2,0,0,2
30.03.2018,2,1,0,3
31.03.2018,2,1,0,3
01.04.2018,2,1,0,3
02.04.2018,2,1,0,3
