terra,,,,
Date, Full Time, Part Time, One Time, Total
12.04.2018,0,0,1,1
13.04.2018,0,0,1,1
14.04.2018,0,0,1,1
15.04.2018,0,0,1,1
16.04.2018,0,0,1,1
17.04.2018,0,0,1,1
18.04.2018,0,0,1,1
19.04.2018,0,0,1,1
20.04.2018,0,0,1,1
21.04.2018,0,0,1,1
22.04.2018,0,0,1,1
23.04.2018,0,0,1,1
24.04.2018,0,0,1,1
25.04.2018,0,0,1,1
26.04.2018,0,0,1,1
27.04.2018,0,0,1,1
28.04.2018,0,0,1,1
29.04.2018,0,0,1,1
30.04.2018,0,0,1,1
01.05.2018,0,0,1,1
02.05.2018,0,0,1,1
03.05.2018,0,0,1,1
04.05.2018,0,0,1,1
05.05.2018,0,0,1,1
06.05.2018,0,0,1,1
07.05.2018,0,0,1,1
08.05.2018,0,0,1,1
09.05.2018,0,0,1,1
13.05.2018,0,1,0,1
14.05.2018,0,1,0,1
15.05.2018,0,1,0,1
16.05.2018,0,1,0,1
17.05.2018,0,1,0,1
18.05.2018,0,1,0,1
19.05.2018,0,1,0,1
20.05.2018,0,1,0,1
21.05.2018,0,1,0,1
22.05.2018,0,1,0,1
23.05.2018,0,1,0,1
24.05.2018,0,1,0,1
25.05.2018,0,1,0,1
26.05.2018,0,1,0,1
27.05.2018,0,1,0,1
28.05.2018,0,1,0,1
29.05.2018,0,1,0,1
30.05.2018,0,1,0,1
31.05.2018,0,1,0,1
01.06.2018,0,1,0,1
02.06.2018,0,1,0,1
03.06.2018,0,1,0,1
04.06.2018,0,1,0,1
05.06.2018,0,1,0,1
06.06.2018,0,1,0,1
07.06.2018,0,1,0,1
08.06.2018,0,1,0,1
09.06.2018,0,1,0,1
06.09.2018,0,0,1,1
07.09.2018,0,0,1,1
08.09.2018,0,0,1,1
09.09.2018,0,0,1,1
10.09.2018,0,0,1,1
11.09.2018,0,0,1,1
12.09.2018,0,0,1,1
13.09.2018,0,0,1,1
14.09.2018,0,0,1,1
15.09.2018,0,0,1,1
16.09.2018,0,0,1,1
17.09.2018,0,0,1,1
18.09.2018,0,0,1,1
19.09.2018,0,0,1,1
20.09.2018,0,0,1,1
21.09.2018,0,0,1,1
22.09.2018,0,0,1,1
23.09.2018,0,0,1,1
24.09.2018,0,0,1,1
25.09.2018,0,0,1,1
26.09.2018,0,0,1,1
27.09.2018,0,0,1,1
28.09.2018,0,0,1,1
29.09.2018,0,0,1,1
30.09.2018,0,0,1,1
01.10.2018,0,0,1,1
02.10.2018,0,0,1,1
03.10.2018,0,0,1,1
04.10.2018,0,1,0,1
05.10.2018,0,1,0,1
06.10.2018,0,1,0,1
07.10.2018,0,1,0,1
08.10.2018,0,1,0,1
09.10.2018,0,1,0,1
10.10.2018,0,1,0,1
11.10.2018,0,1,0,1
12.10.2018,0,1,0,1
13.10.2018,0,1,0,1
14.10.2018,0,1,0,1
15.10.2018,0,1,0,1
16.10.2018,0,1,0,1
17.10.2018,0,1,0,1
18.10.2018,0,1,0,1
19.10.2018,0,1,0,1
20.10.2018,0,1,0,1
21.10.2018,0,1,0,1
22.10.2018,0,1,0,1
23.10.2018,0,1,0,1
24.10.2018,0,1,0,1
25.10.2018,0,1,0,1
26.10.2018,0,1,0,1
27.10.2018,0,1,0,1
28.10.2018,0,1,0,1
29.10.2018,0,1,0,1
30.10.2018,0,1,0,1
31.10.2018,0,1,0,1
11.11.2018,0,0,1,1
12.11.2018,0,0,1,1
13.11.2018,0,0,1,1
14.11.2018,0,0,1,1
15.11.2018,0,0,1,1
16.11.2018,0,0,1,1
17.11.2018,0,0,1,1
18.11.2018,0,1,0,1
19.11.2018,0,1,0,1
20.11.2018,0,1,0,1
21.11.2018,0,1,0,1
22.11.2018,0,1,1,2
