tezos,,,,
Date, Full Time, Part Time, One Time, Total
19.02.2015,0,0,1,1
20.02.2015,0,0,1,1
21.02.2015,0,0,1,1
22.02.2015,0,0,1,1
23.02.2015,0,0,1,1
24.02.2015,0,0,1,1
25.02.2015,0,0,1,1
26.02.2015,0,0,1,1
27.02.2015,0,0,1,1
28.02.2015,0,0,1,1
01.03.2015,0,0,1,1
02.03.2015,0,0,1,1
03.03.2015,0,0,1,1
04.03.2015,0,0,1,1
05.03.2015,0,0,1,1
06.03.2015,0,0,1,1
07.03.2015,0,0,1,1
08.03.2015,0,0,1,1
09.03.2015,0,0,1,1
10.03.2015,0,0,1,1
11.03.2015,0,0,1,1
12.03.2015,0,0,1,1
13.03.2015,0,0,1,1
14.03.2015,0,0,1,1
15.03.2015,0,0,1,1
16.03.2015,0,0,1,1
17.03.2015,0,0,1,1
18.03.2015,0,0,1,1
28.03.2015,0,1,0,1
29.03.2015,0,1,0,1
30.03.2015,0,1,0,1
31.03.2015,0,1,0,1
01.04.2015,0,1,0,1
02.04.2015,0,1,0,1
03.04.2015,0,1,0,1
04.04.2015,0,1,0,1
05.04.2015,0,1,0,1
06.04.2015,0,1,0,1
07.04.2015,0,1,0,1
08.04.2015,0,1,0,1
09.04.2015,0,1,0,1
10.04.2015,0,1,0,1
11.04.2015,0,1,0,1
12.04.2015,0,1,0,1
13.04.2015,0,1,0,1
14.04.2015,0,1,0,1
15.04.2015,0,1,0,1
16.04.2015,0,1,0,1
17.04.2015,0,1,0,1
18.04.2015,0,1,0,1
19.04.2015,0,1,0,1
20.04.2015,0,1,0,1
21.04.2015,0,1,0,1
22.04.2015,0,1,0,1
23.04.2015,0,1,0,1
24.04.2015,0,1,0,1
28.04.2015,0,1,0,1
29.04.2015,0,1,0,1
30.04.2015,0,1,0,1
01.05.2015,0,1,0,1
02.05.2015,0,1,0,1
03.05.2015,0,1,0,1
04.05.2015,0,1,0,1
05.05.2015,0,1,0,1
06.05.2015,0,1,0,1
07.05.2015,0,1,0,1
08.05.2015,0,1,1,2
09.05.2015,0,1,1,2
10.05.2015,0,1,1,2
11.05.2015,0,1,1,2
12.05.2015,0,1,1,2
13.05.2015,0,1,1,2
14.05.2015,0,1,1,2
15.05.2015,0,1,1,2
16.05.2015,0,1,1,2
17.05.2015,0,1,1,2
18.05.2015,0,1,1,2
19.05.2015,0,1,1,2
20.05.2015,0,1,1,2
21.05.2015,0,1,1,2
22.05.2015,0,1,1,2
23.05.2015,0,1,1,2
24.05.2015,0,1,1,2
25.05.2015,0,1,1,2
26.05.2015,0,1,1,2
27.05.2015,0,1,1,2
28.05.2015,0,1,1,2
29.05.2015,0,1,1,2
30.05.2015,0,1,1,2
31.05.2015,0,1,1,2
01.06.2015,0,1,1,2
02.06.2015,0,1,1,2
03.06.2015,0,1,1,2
04.06.2015,0,1,1,2
05.06.2015,0,1,0,1
27.06.2015,0,0,1,1
28.06.2015,0,0,1,1
29.06.2015,0,0,1,1
30.06.2015,0,0,1,1
01.07.2015,0,0,1,1
02.07.2015,0,1,0,1
03.07.2015,0,1,0,1
04.07.2015,0,1,0,1
05.07.2015,0,1,0,1
06.07.2015,0,1,0,1
07.07.2015,0,1,0,1
08.07.2015,0,1,0,1
09.07.2015,0,1,0,1
10.07.2015,0,1,0,1
11.07.2015,0,1,0,1
12.07.2015,0,1,0,1
13.07.2015,0,1,0,1
14.07.2015,0,1,0,1
15.07.2015,0,1,0,1
16.07.2015,0,1,0,1
17.07.2015,0,1,0,1
18.07.2015,0,1,0,1
19.07.2015,0,1,0,1
20.07.2015,0,2,0,2
21.07.2015,0,2,0,2
22.07.2015,0,2,0,2
23.07.2015,0,2,0,2
24.07.2015,0,2,0,2
25.07.2015,0,2,0,2
26.07.2015,0,2,0,2
27.07.2015,0,2,0,2
28.07.2015,0,2,0,2
29.07.2015,0,2,0,2
30.07.2015,0,1,0,1
31.07.2015,0,1,0,1
01.08.2015,0,1,0,1
02.08.2015,0,1,0,1
03.08.2015,0,1,0,1
04.08.2015,0,1,0,1
05.08.2015,0,1,0,1
06.08.2015,0,1,0,1
