the-graph,,,,
Date, Full Time, Part Time, One Time, Total
06.11.2016,0,0,1,1
07.11.2016,0,0,1,1
08.11.2016,0,0,1,1
09.11.2016,0,0,1,1
10.11.2016,0,0,1,1
11.11.2016,0,0,1,1
12.11.2016,0,1,0,1
13.11.2016,0,1,0,1
14.11.2016,0,1,0,1
15.11.2016,0,1,0,1
16.11.2016,0,1,0,1
17.11.2016,0,1,0,1
18.11.2016,0,1,0,1
19.11.2016,0,1,0,1
20.11.2016,0,1,1,2
21.11.2016,0,1,1,2
22.11.2016,0,1,1,2
23.11.2016,0,1,1,2
24.11.2016,0,1,1,2
25.11.2016,0,1,1,2
26.11.2016,0,1,1,2
27.11.2016,0,1,1,2
28.11.2016,0,1,1,2
29.11.2016,0,1,1,2
30.11.2016,0,1,1,2
01.12.2016,0,1,1,2
02.12.2016,0,1,1,2
03.12.2016,0,1,1,2
04.12.2016,0,1,1,2
05.12.2016,0,1,1,2
06.12.2016,0,1,1,2
07.12.2016,0,1,1,2
08.12.2016,0,1,1,2
09.12.2016,0,1,1,2
10.12.2016,0,1,1,2
11.12.2016,0,1,1,2
12.12.2016,0,1,1,2
13.12.2016,0,1,1,2
14.12.2016,0,1,1,2
15.12.2016,0,1,1,2
16.12.2016,0,1,1,2
17.12.2016,0,1,1,2
18.12.2016,0,1,0,1
19.12.2016,0,1,0,1
20.12.2016,0,1,0,1
21.12.2016,0,1,0,1
22.12.2016,0,1,0,1
23.12.2016,0,1,0,1
24.12.2016,0,1,0,1
25.12.2016,0,1,0,1
26.12.2016,0,1,0,1
27.12.2016,0,1,0,1
28.12.2016,0,1,0,1
29.12.2016,0,1,0,1
15.01.2017,0,0,1,1
16.01.2017,0,1,0,1
17.01.2017,0,1,0,1
18.01.2017,0,1,0,1
19.01.2017,0,1,0,1
20.01.2017,0,1,0,1
21.01.2017,0,1,0,1
22.01.2017,0,1,0,1
23.01.2017,0,1,0,1
24.01.2017,0,1,0,1
25.01.2017,0,1,0,1
26.01.2017,0,1,0,1
27.01.2017,0,1,0,1
28.01.2017,0,1,0,1
29.01.2017,0,1,0,1
30.01.2017,0,1,0,1
31.01.2017,0,1,0,1
01.02.2017,0,1,0,1
02.02.2017,0,1,0,1
03.02.2017,0,1,0,1
04.02.2017,0,1,0,1
05.02.2017,0,1,0,1
06.02.2017,0,1,0,1
07.02.2017,0,1,0,1
08.02.2017,0,1,0,1
09.02.2017,0,1,0,1
10.02.2017,0,1,0,1
11.02.2017,0,1,0,1
12.02.2017,0,1,0,1
13.02.2017,1,0,0,1
14.02.2017,1,0,0,1
15.02.2017,1,0,0,1
16.02.2017,1,0,0,1
17.02.2017,1,0,0,1
18.02.2017,1,0,0,1
19.02.2017,0,1,0,1
20.02.2017,0,1,0,1
21.02.2017,0,1,0,1
22.02.2017,1,0,0,1
23.02.2017,1,0,0,1
24.02.2017,1,0,0,1
25.02.2017,1,0,1,2
26.02.2017,0,1,1,2
27.02.2017,0,1,1,2
28.02.2017,0,2,0,2
01.03.2017,1,1,0,2
02.03.2017,1,1,0,2
03.03.2017,1,1,0,2
04.03.2017,1,1,0,2
05.03.2017,1,1,0,2
06.03.2017,1,1,0,2
07.03.2017,1,1,0,2
08.03.2017,1,1,0,2
09.03.2017,1,1,0,2
10.03.2017,1,1,0,2
11.03.2017,1,1,0,2
12.03.2017,1,1,0,2
13.03.2017,1,1,0,2
14.03.2017,1,1,0,2
15.03.2017,1,1,0,2
16.03.2017,1,1,1,3
17.03.2017,1,1,1,3
18.03.2017,1,1,1,3
19.03.2017,1,1,1,3
20.03.2017,1,1,1,3
21.03.2017,1,1,1,3
22.03.2017,1,1,1,3
23.03.2017,1,1,1,3
24.03.2017,1,1,1,3
25.03.2017,1,1,1,3
26.03.2017,1,1,1,3
27.03.2017,1,1,1,3
28.03.2017,1,1,1,3
29.03.2017,1,1,2,4
30.03.2017,1,1,2,4
31.03.2017,1,2,1,4
01.04.2017,1,2,1,4
02.04.2017,1,2,1,4
03.04.2017,1,2,1,4
04.04.2017,1,2,1,4
05.04.2017,1,2,1,4
06.04.2017,1,2,1,4
07.04.2017,1,2,1,4
08.04.2017,1,2,1,4
09.04.2017,1,2,1,4
10.04.2017,1,2,1,4
11.04.2017,1,2,1,4
12.04.2017,1,2,1,4
13.04.2017,1,2,0,3
14.04.2017,1,2,0,3
15.04.2017,1,2,0,3
16.04.2017,1,2,0,3
17.04.2017,1,2,0,3
18.04.2017,1,2,0,3
19.04.2017,1,2,0,3
20.04.2017,1,2,0,3
21.04.2017,1,2,0,3
22.04.2017,1,2,0,3
23.04.2017,1,2,0,3
24.04.2017,1,2,1,4
25.04.2017,1,3,0,4
26.04.2017,1,3,0,4
27.04.2017,1,3,0,4
28.04.2017,1,3,0,4
29.04.2017,1,3,1,5
30.04.2017,1,4,0,5
01.05.2017,1,4,0,5
02.05.2017,1,4,0,5
03.05.2017,1,4,0,5
04.05.2017,1,4,0,5
05.05.2017,1,4,0,5
06.05.2017,1,4,0,5
