thorchain,,,,
Date, Full Time, Part Time, One Time, Total
17.07.2017,0,0,1,1
18.07.2017,0,1,0,1
19.07.2017,0,1,0,1
20.07.2017,0,1,0,1
21.07.2017,0,1,0,1
22.07.2017,0,1,0,1
23.07.2017,0,1,0,1
24.07.2017,0,1,0,1
25.07.2017,0,1,0,1
26.07.2017,0,1,0,1
27.07.2017,0,1,0,1
28.07.2017,0,1,0,1
29.07.2017,0,1,0,1
30.07.2017,0,1,0,1
31.07.2017,0,1,0,1
01.08.2017,0,1,0,1
02.08.2017,0,1,0,1
03.08.2017,0,1,0,1
04.08.2017,0,1,0,1
05.08.2017,0,1,0,1
06.08.2017,0,1,0,1
07.08.2017,0,1,0,1
08.08.2017,0,1,0,1
09.08.2017,0,1,0,1
10.08.2017,0,1,0,1
11.08.2017,0,1,0,1
12.08.2017,0,1,0,1
13.08.2017,0,1,0,1
14.08.2017,0,1,0,1
15.08.2017,0,1,0,1
16.08.2017,0,1,0,1
17.08.2017,0,1,0,1
18.08.2017,0,1,0,1
19.08.2017,0,1,0,1
20.08.2017,0,1,0,1
21.08.2017,0,1,0,1
22.08.2017,0,1,0,1
23.08.2017,0,1,0,1
24.08.2017,0,1,0,1
25.08.2017,0,1,0,1
26.08.2017,0,1,0,1
27.08.2017,0,1,0,1
28.08.2017,0,1,0,1
29.08.2017,0,1,0,1
30.08.2017,0,1,0,1
31.08.2017,0,1,0,1
01.09.2017,0,1,0,1
02.09.2017,0,1,0,1
03.09.2017,0,1,0,1
04.09.2017,0,1,0,1
05.09.2017,0,1,0,1
06.09.2017,0,1,0,1
23.09.2017,0,0,1,1
24.09.2017,0,0,1,1
25.09.2017,0,0,1,1
26.09.2017,0,0,1,1
27.09.2017,0,0,1,1
28.09.2017,0,0,1,1
29.09.2017,0,0,1,1
30.09.2017,0,0,1,1
01.10.2017,0,0,1,1
02.10.2017,0,0,1,1
03.10.2017,0,0,1,1
04.10.2017,0,0,1,1
05.10.2017,0,0,1,1
06.10.2017,0,0,1,1
07.10.2017,0,0,1,1
08.10.2017,0,0,1,1
09.10.2017,0,0,1,1
10.10.2017,0,0,1,1
11.10.2017,0,0,1,1
12.10.2017,0,0,1,1
13.10.2017,0,0,1,1
14.10.2017,0,0,1,1
15.10.2017,0,0,1,1
16.10.2017,0,0,1,1
17.10.2017,0,0,1,1
18.10.2017,0,0,1,1
19.10.2017,0,0,1,1
20.10.2017,0,0,1,1
30.03.2018,0,0,1,1
31.03.2018,0,0,1,1
01.04.2018,0,0,1,1
02.04.2018,0,0,1,1
03.04.2018,0,0,1,1
04.04.2018,0,0,1,1
05.04.2018,0,0,1,1
06.04.2018,0,0,1,1
07.04.2018,0,0,1,1
08.04.2018,0,0,1,1
09.04.2018,0,0,1,1
10.04.2018,0,0,1,1
11.04.2018,0,0,1,1
12.04.2018,0,0,1,1
13.04.2018,0,0,1,1
14.04.2018,0,0,1,1
15.04.2018,0,0,1,1
16.04.2018,0,0,1,1
17.04.2018,0,0,1,1
18.04.2018,0,0,2,2
19.04.2018,0,0,2,2
20.04.2018,0,0,2,2
21.04.2018,0,0,2,2
22.04.2018,0,0,2,2
23.04.2018,0,0,2,2
24.04.2018,0,0,2,2
25.04.2018,0,1,1,2
26.04.2018,0,1,1,2
27.04.2018,0,1,0,1
28.04.2018,0,1,0,1
29.04.2018,0,1,0,1
30.04.2018,0,1,0,1
01.05.2018,0,1,0,1
02.05.2018,0,1,0,1
03.05.2018,0,1,0,1
04.05.2018,0,1,0,1
05.05.2018,0,1,0,1
06.05.2018,0,1,0,1
07.05.2018,0,1,0,1
08.05.2018,0,1,0,1
09.05.2018,0,1,0,1
10.05.2018,0,1,0,1
11.05.2018,0,1,0,1
12.05.2018,0,1,0,1
13.05.2018,0,1,0,1
14.05.2018,0,1,0,1
15.05.2018,0,1,0,1
16.05.2018,0,1,0,1
17.05.2018,0,1,0,1
18.05.2018,0,1,0,1
19.05.2018,0,1,0,1
20.05.2018,0,1,0,1
21.05.2018,0,1,0,1
22.05.2018,0,1,0,1
18.06.2018,0,0,1,1
19.06.2018,0,0,1,1
20.06.2018,0,0,1,1
21.06.2018,0,0,1,1
22.06.2018,0,0,1,1
23.06.2018,0,0,1,1
24.06.2018,0,0,1,1
25.06.2018,0,0,1,1
26.06.2018,0,0,1,1
27.06.2018,0,0,1,1
28.06.2018,0,0,1,1
29.06.2018,0,0,1,1
30.06.2018,0,0,1,1
01.07.2018,0,0,1,1
02.07.2018,0,0,1,1
03.07.2018,0,0,1,1
04.07.2018,0,0,1,1
05.07.2018,0,0,1,1
06.07.2018,0,0,1,1
07.07.2018,0,0,1,1
08.07.2018,0,0,1,1
09.07.2018,0,0,1,1
10.07.2018,0,0,1,1
11.07.2018,0,1,0,1
12.07.2018,0,1,0,1
13.07.2018,0,1,0,1
14.07.2018,0,1,0,1
15.07.2018,0,1,0,1
16.07.2018,0,1,1,2
17.07.2018,0,2,1,3
18.07.2018,0,2,1,3
19.07.2018,0,3,1,4
20.07.2018,0,3,3,6
21.07.2018,0,3,3,6
22.07.2018,0,3,3,6
23.07.2018,0,5,2,7
24.07.2018,0,6,2,8
25.07.2018,0,6,2,8
26.07.2018,0,6,4,10
27.07.2018,0,6,4,10
28.07.2018,0,6,9,15
29.07.2018,0,7,8,15
30.07.2018,0,7,8,15
31.07.2018,0,8,9,17
01.08.2018,0,9,9,18
02.08.2018,0,10,8,18
03.08.2018,0,11,8,19
04.08.2018,0,11,9,20
05.08.2018,0,12,8,20
06.08.2018,0,12,9,21
07.08.2018,0,12,10,22
08.08.2018,0,12,11,23
09.08.2018,0,12,11,23
10.08.2018,0,13,10,23
11.08.2018,0,14,9,23
12.08.2018,0,14,9,23
13.08.2018,0,14,9,23
14.08.2018,0,14,9,23
15.08.2018,0,14,9,23
16.08.2018,0,13,8,21
17.08.2018,0,13,8,21
18.08.2018,0,13,8,21
19.08.2018,0,13,8,21
20.08.2018,0,13,8,21
21.08.2018,0,13,8,21
22.08.2018,0,12,8,20
23.08.2018,0,12,6,18
24.08.2018,0,12,6,18
25.08.2018,0,12,3,15
26.08.2018,1,11,3,15
27.08.2018,1,12,2,15
28.08.2018,1,12,2,15
29.08.2018,1,12,2,15
30.08.2018,1,12,3,16
31.08.2018,1,7,3,11
01.09.2018,1,7,3,11
02.09.2018,1,6,3,10
03.09.2018,1,3,3,7
04.09.2018,1,3,3,7
05.09.2018,1,4,5,10
06.09.2018,1,4,5,10
07.09.2018,2,3,5,10
08.09.2018,3,2,5,10
09.09.2018,3,2,6,11
10.09.2018,3,3,6,12
11.09.2018,3,3,6,12
12.09.2018,3,3,6,12
13.09.2018,3,4,5,12
14.09.2018,3,5,4,12
15.09.2018,3,5,4,12
16.09.2018,3,5,4,12
17.09.2018,3,5,4,12
18.09.2018,2,6,4,12
19.09.2018,2,6,4,12
20.09.2018,2,6,4,12
21.09.2018,2,6,4,12
22.09.2018,2,6,4,12
23.09.2018,2,6,4,12
24.09.2018,2,6,4,12
25.09.2018,3,5,4,12
26.09.2018,3,5,4,12
27.09.2018,3,5,3,11
28.09.2018,3,5,2,10
29.09.2018,3,5,2,10
30.09.2018,3,5,2,10
01.10.2018,3,5,2,10
02.10.2018,3,5,3,11
03.10.2018,3,5,1,9
04.10.2018,3,5,1,9
05.10.2018,3,5,1,9
06.10.2018,3,5,2,10
07.10.2018,3,5,3,11
