ton,,,,
Date, Full Time, Part Time, One Time, Total
13.08.2015,0,0,1,1
14.08.2015,0,0,1,1
15.08.2015,0,0,1,1
16.08.2015,0,0,1,1
17.08.2015,0,0,1,1
18.08.2015,0,0,1,1
19.08.2015,0,0,1,1
20.08.2015,0,0,1,1
21.08.2015,0,0,1,1
22.08.2015,0,0,1,1
23.08.2015,0,0,1,1
24.08.2015,0,0,1,1
25.08.2015,0,0,1,1
26.08.2015,0,0,1,1
27.08.2015,0,0,1,1
28.08.2015,0,0,1,1
29.08.2015,0,0,1,1
30.08.2015,0,0,1,1
31.08.2015,0,0,1,1
01.09.2015,0,0,1,1
02.09.2015,0,0,1,1
03.09.2015,0,0,1,1
04.09.2015,0,0,1,1
05.09.2015,0,0,1,1
06.09.2015,0,0,1,1
07.09.2015,0,0,1,1
08.09.2015,0,0,1,1
09.09.2015,0,0,1,1
14.01.2017,0,0,1,1
15.01.2017,0,0,1,1
16.01.2017,0,0,1,1
17.01.2017,0,0,1,1
18.01.2017,0,0,1,1
19.01.2017,0,0,1,1
20.01.2017,0,0,1,1
21.01.2017,0,0,1,1
22.01.2017,0,0,1,1
23.01.2017,0,0,1,1
24.01.2017,0,0,1,1
25.01.2017,0,0,1,1
26.01.2017,0,0,1,1
27.01.2017,0,0,1,1
28.01.2017,0,0,1,1
29.01.2017,0,0,1,1
30.01.2017,0,0,1,1
31.01.2017,0,0,1,1
01.02.2017,0,0,1,1
02.02.2017,0,0,1,1
03.02.2017,0,0,1,1
04.02.2017,0,0,1,1
05.02.2017,0,0,1,1
06.02.2017,0,0,1,1
07.02.2017,0,0,1,1
08.02.2017,0,0,1,1
09.02.2017,0,0,1,1
10.02.2017,0,0,1,1
25.05.2019,0,0,5,5
26.05.2019,0,2,3,5
27.05.2019,0,2,3,5
28.05.2019,0,3,3,6
29.05.2019,0,3,3,6
30.05.2019,0,3,3,6
31.05.2019,0,3,4,7
01.06.2019,0,3,5,8
02.06.2019,0,3,5,8
03.06.2019,0,3,5,8
04.06.2019,0,3,5,8
05.06.2019,0,4,4,8
