tron,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,6,1,7
02.01.2015,0,6,1,7
03.01.2015,0,6,1,7
04.01.2015,0,6,1,7
05.01.2015,0,6,1,7
06.01.2015,0,6,1,7
07.01.2015,0,6,1,7
08.01.2015,0,6,1,7
09.01.2015,0,6,1,7
10.01.2015,0,6,1,7
11.01.2015,0,6,1,7
12.01.2015,0,6,1,7
13.01.2015,0,5,1,6
14.01.2015,1,4,2,7
15.01.2015,0,4,2,6
16.01.2015,0,4,2,6
17.01.2015,0,4,2,6
18.01.2015,0,4,2,6
19.01.2015,0,4,2,6
20.01.2015,0,4,1,5
21.01.2015,0,4,1,5
22.01.2015,0,4,2,6
23.01.2015,0,4,2,6
24.01.2015,0,4,2,6
25.01.2015,0,4,2,6
26.01.2015,0,4,2,6
27.01.2015,0,5,2,7
28.01.2015,0,5,2,7
29.01.2015,0,5,2,7
30.01.2015,0,5,3,8
31.01.2015,0,5,3,8
01.02.2015,0,5,3,8
02.02.2015,0,5,3,8
03.02.2015,0,5,3,8
04.02.2015,0,5,3,8
05.02.2015,0,5,3,8
06.02.2015,0,5,3,8
07.02.2015,0,5,3,8
08.02.2015,0,5,3,8
09.02.2015,0,5,3,8
10.02.2015,0,6,2,8
11.02.2015,0,6,1,7
12.02.2015,0,6,1,7
13.02.2015,0,6,2,8
14.02.2015,0,6,2,8
15.02.2015,0,6,2,8
16.02.2015,0,6,3,9
17.02.2015,0,7,2,9
18.02.2015,0,7,3,10
19.02.2015,0,7,2,9
20.02.2015,0,7,2,9
21.02.2015,0,7,2,9
22.02.2015,0,7,2,9
23.02.2015,0,7,2,9
24.02.2015,0,8,1,9
25.02.2015,0,8,1,9
26.02.2015,0,8,1,9
27.02.2015,0,8,2,10
28.02.2015,0,8,3,11
01.03.2015,0,8,3,11
02.03.2015,0,7,3,10
03.03.2015,0,6,3,9
04.03.2015,0,6,3,9
05.03.2015,0,6,3,9
06.03.2015,0,6,3,9
07.03.2015,0,6,3,9
08.03.2015,0,6,3,9
09.03.2015,0,6,3,9
10.03.2015,0,5,3,8
11.03.2015,0,6,2,8
12.03.2015,0,7,2,9
13.03.2015,0,6,1,7
14.03.2015,0,6,1,7
15.03.2015,0,6,1,7
16.03.2015,0,6,1,7
17.03.2015,0,5,2,7
18.03.2015,0,5,2,7
19.03.2015,0,5,2,7
20.03.2015,0,5,2,7
21.03.2015,0,5,2,7
22.03.2015,0,5,2,7
23.03.2015,0,5,2,7
24.03.2015,0,5,2,7
25.03.2015,0,5,3,8
26.03.2015,0,4,4,8
27.03.2015,0,4,3,7
28.03.2015,0,4,3,7
29.03.2015,0,4,3,7
30.03.2015,0,3,3,6
31.03.2015,0,4,3,7
01.04.2015,0,4,5,9
02.04.2015,0,4,5,9
03.04.2015,0,3,7,10
04.04.2015,0,3,7,10
05.04.2015,0,3,7,10
06.04.2015,0,4,6,10
07.04.2015,0,4,6,10
08.04.2015,0,3,6,9
09.04.2015,0,3,5,8
10.04.2015,0,3,5,8
11.04.2015,0,3,5,8
12.04.2015,0,3,5,8
13.04.2015,0,3,5,8
14.04.2015,0,3,5,8
15.04.2015,0,4,4,8
16.04.2015,0,4,5,9
17.04.2015,0,4,5,9
18.04.2015,0,4,5,9
19.04.2015,0,4,5,9
20.04.2015,0,4,5,9
21.04.2015,0,4,5,9
22.04.2015,0,4,4,8
23.04.2015,0,5,2,7
24.04.2015,0,5,2,7
25.04.2015,0,5,2,7
26.04.2015,0,5,2,7
27.04.2015,0,5,2,7
28.04.2015,0,6,3,9
29.04.2015,0,6,2,8
30.04.2015,0,6,2,8
01.05.2015,0,6,1,7
02.05.2015,0,6,1,7
03.05.2015,0,6,1,7
04.05.2015,1,5,1,7
05.05.2015,1,5,1,7
06.05.2015,1,5,1,7
07.05.2015,1,5,1,7
08.05.2015,1,4,2,7
09.05.2015,1,4,2,7
10.05.2015,1,4,2,7
11.05.2015,1,4,2,7
12.05.2015,1,5,2,8
13.05.2015,1,4,2,7
14.05.2015,1,4,2,7
15.05.2015,1,4,2,7
16.05.2015,1,4,2,7
17.05.2015,1,4,2,7
18.05.2015,1,4,2,7
19.05.2015,1,5,1,7
20.05.2015,1,5,1,7
21.05.2015,1,5,1,7
22.05.2015,1,5,1,7
23.05.2015,1,5,1,7
24.05.2015,1,5,1,7
25.05.2015,1,5,1,7
26.05.2015,1,5,0,6
27.05.2015,1,5,0,6
28.05.2015,1,5,0,6
29.05.2015,1,6,1,8
30.05.2015,1,6,1,8
31.05.2015,1,6,1,8
01.06.2015,1,5,1,7
02.06.2015,1,5,1,7
03.06.2015,1,5,1,7
04.06.2015,1,5,2,8
05.06.2015,1,5,2,8
06.06.2015,1,5,2,8
07.06.2015,1,5,2,8
08.06.2015,1,5,2,8
09.06.2015,1,5,2,8
10.06.2015,1,4,2,7
11.06.2015,1,4,2,7
12.06.2015,1,4,2,7
13.06.2015,1,4,2,7
14.06.2015,1,4,2,7
15.06.2015,1,3,2,6
16.06.2015,1,4,1,6
17.06.2015,1,4,1,6
18.06.2015,1,3,2,6
19.06.2015,1,3,2,6
20.06.2015,1,3,2,6
21.06.2015,1,3,2,6
22.06.2015,1,3,2,6
23.06.2015,1,3,2,6
24.06.2015,1,4,2,7
25.06.2015,1,4,2,7
26.06.2015,1,3,2,6
27.06.2015,1,3,2,6
28.06.2015,1,4,1,6
29.06.2015,1,5,1,7
30.06.2015,1,5,1,7
01.07.2015,1,5,1,7
02.07.2015,1,6,0,7
03.07.2015,1,6,0,7
04.07.2015,1,6,0,7
05.07.2015,1,6,0,7
06.07.2015,1,6,0,7
07.07.2015,1,6,0,7
08.07.2015,1,6,0,7
09.07.2015,1,6,0,7
10.07.2015,1,6,0,7
11.07.2015,1,6,0,7
12.07.2015,1,6,0,7
13.07.2015,1,6,0,7
14.07.2015,1,6,0,7
15.07.2015,1,6,1,8
16.07.2015,1,6,1,8
17.07.2015,1,6,1,8
18.07.2015,1,6,1,8
19.07.2015,1,6,1,8
20.07.2015,1,6,1,8
21.07.2015,1,6,1,8
22.07.2015,1,5,1,7
23.07.2015,1,5,1,7
24.07.2015,1,5,1,7
25.07.2015,1,5,1,7
26.07.2015,1,4,1,6
27.07.2015,1,4,1,6
28.07.2015,1,4,1,6
29.07.2015,1,4,3,8
30.07.2015,1,4,3,8
31.07.2015,1,5,2,8
01.08.2015,1,5,2,8
02.08.2015,1,5,2,8
03.08.2015,1,5,2,8
04.08.2015,1,6,2,9
05.08.2015,1,6,2,9
06.08.2015,1,6,2,9
07.08.2015,1,6,2,9
08.08.2015,1,6,2,9
09.08.2015,1,6,2,9
10.08.2015,1,6,2,9
11.08.2015,1,5,2,8
12.08.2015,1,5,1,7
13.08.2015,1,5,1,7
14.08.2015,1,5,3,9
15.08.2015,1,6,2,9
16.08.2015,1,6,2,9
17.08.2015,1,6,2,9
18.08.2015,1,7,1,9
19.08.2015,1,7,2,10
20.08.2015,1,7,3,11
21.08.2015,1,7,2,10
22.08.2015,1,7,2,10
23.08.2015,1,7,2,10
24.08.2015,1,7,2,10
25.08.2015,1,7,2,10
26.08.2015,1,8,1,10
27.08.2015,1,8,1,10
28.08.2015,1,7,1,9
29.08.2015,1,7,1,9
30.08.2015,1,7,1,9
31.08.2015,1,7,1,9
01.09.2015,2,6,1,9
02.09.2015,2,5,1,8
03.09.2015,2,5,2,9
04.09.2015,1,6,2,9
05.09.2015,1,6,2,9
06.09.2015,1,7,2,10
07.09.2015,1,7,2,10
08.09.2015,1,7,2,10
09.09.2015,1,7,2,10
10.09.2015,1,9,1,11
11.09.2015,1,9,1,11
12.09.2015,1,9,1,11
13.09.2015,1,9,1,11
14.09.2015,1,9,1,11
15.09.2015,0,9,1,10
16.09.2015,0,9,1,10
17.09.2015,0,9,0,9
18.09.2015,0,8,0,8
19.09.2015,0,8,0,8
20.09.2015,0,8,0,8
21.09.2015,1,7,0,8
22.09.2015,1,7,1,9
23.09.2015,1,6,1,8
24.09.2015,1,5,1,7
25.09.2015,1,5,2,8
26.09.2015,1,5,2,8
27.09.2015,1,5,2,8
28.09.2015,1,5,2,8
29.09.2015,2,4,2,8
30.09.2015,2,4,2,8
01.10.2015,1,4,2,7
02.10.2015,0,5,2,7
03.10.2015,0,5,2,7
04.10.2015,0,5,2,7
05.10.2015,0,5,2,7
06.10.2015,0,5,2,7
07.10.2015,0,6,2,8
08.10.2015,0,7,1,8
09.10.2015,1,7,1,9
10.10.2015,1,7,1,9
11.10.2015,1,7,1,9
12.10.2015,1,7,1,9
13.10.2015,0,8,1,9
14.10.2015,0,7,1,8
15.10.2015,0,7,1,8
16.10.2015,0,7,1,8
17.10.2015,0,7,1,8
18.10.2015,0,7,1,8
19.10.2015,1,6,1,8
20.10.2015,1,6,0,7
21.10.2015,1,4,0,5
22.10.2015,1,4,0,5
23.10.2015,1,4,0,5
24.10.2015,1,4,0,5
25.10.2015,1,4,0,5
26.10.2015,1,4,0,5
27.10.2015,2,3,0,5
28.10.2015,2,4,0,6
29.10.2015,2,4,0,6
30.10.2015,1,5,1,7
31.10.2015,1,5,1,7
01.11.2015,1,5,1,7
02.11.2015,1,5,1,7
03.11.2015,1,5,1,7
04.11.2015,1,4,1,6
05.11.2015,1,5,1,7
06.11.2015,1,5,1,7
07.11.2015,1,5,1,7
08.11.2015,1,5,1,7
09.11.2015,1,6,1,8
10.11.2015,0,6,1,7
11.11.2015,0,8,1,9
12.11.2015,0,8,1,9
13.11.2015,0,8,1,9
14.11.2015,0,8,1,9
15.11.2015,0,8,1,9
16.11.2015,0,8,1,9
17.11.2015,0,8,1,9
18.11.2015,0,8,1,9
19.11.2015,0,8,1,9
20.11.2015,0,8,1,9
21.11.2015,0,8,1,9
22.11.2015,0,8,1,9
23.11.2015,0,8,1,9
24.11.2015,0,8,1,9
25.11.2015,0,7,1,8
26.11.2015,0,7,1,8
27.11.2015,0,7,0,7
28.11.2015,0,7,0,7
29.11.2015,0,7,0,7
30.11.2015,0,7,0,7
01.12.2015,0,7,0,7
