uma,,,,
Date, Full Time, Part Time, One Time, Total
20.07.2018,0,0,1,1
21.07.2018,0,0,1,1
22.07.2018,0,0,1,1
23.07.2018,0,0,1,1
24.07.2018,0,0,2,2
25.07.2018,0,1,1,2
26.07.2018,0,1,1,2
27.07.2018,0,2,0,2
28.07.2018,0,2,0,2
29.07.2018,0,2,0,2
30.07.2018,0,2,0,2
31.07.2018,0,2,0,2
01.08.2018,0,2,0,2
02.08.2018,0,2,0,2
03.08.2018,0,2,0,2
04.08.2018,0,2,0,2
05.08.2018,0,2,0,2
06.08.2018,0,2,0,2
07.08.2018,0,2,0,2
08.08.2018,0,2,0,2
09.08.2018,0,2,0,2
10.08.2018,0,2,0,2
11.08.2018,0,2,0,2
12.08.2018,0,2,0,2
13.08.2018,0,2,0,2
14.08.2018,0,2,0,2
15.08.2018,0,2,0,2
16.08.2018,0,2,0,2
17.08.2018,0,2,0,2
18.08.2018,0,2,0,2
19.08.2018,0,2,0,2
20.08.2018,0,2,0,2
21.08.2018,0,2,0,2
22.08.2018,0,2,0,2
23.08.2018,0,2,0,2
24.08.2018,0,1,0,1
25.08.2018,0,1,0,1
26.08.2018,0,1,0,1
27.08.2018,0,1,0,1
28.08.2018,0,1,0,1
29.08.2018,0,1,0,1
30.08.2018,0,1,0,1
31.08.2018,0,1,0,1
01.09.2018,0,1,0,1
02.09.2018,0,1,0,1
03.09.2018,0,1,0,1
04.09.2018,0,1,0,1
05.09.2018,0,1,0,1
06.09.2018,0,1,0,1
07.09.2018,0,1,0,1
08.09.2018,0,1,0,1
09.09.2018,0,1,0,1
10.09.2018,0,1,0,1
11.09.2018,0,1,0,1
12.09.2018,0,2,0,2
13.09.2018,0,2,0,2
14.09.2018,0,2,0,2
15.09.2018,0,2,0,2
16.09.2018,0,2,0,2
17.09.2018,0,2,0,2
18.09.2018,0,2,0,2
19.09.2018,0,2,1,3
20.09.2018,0,3,0,3
21.09.2018,0,3,0,3
22.09.2018,0,3,0,3
23.09.2018,0,3,0,3
24.09.2018,0,3,0,3
25.09.2018,0,3,0,3
26.09.2018,0,3,0,3
27.09.2018,0,3,0,3
28.09.2018,0,3,0,3
29.09.2018,0,3,0,3
30.09.2018,0,3,0,3
01.10.2018,0,3,0,3
02.10.2018,0,3,0,3
03.10.2018,0,3,0,3
04.10.2018,0,3,0,3
05.10.2018,0,3,0,3
06.10.2018,0,3,0,3
07.10.2018,0,3,0,3
08.10.2018,0,3,0,3
09.10.2018,0,3,0,3
10.10.2018,0,2,0,2
11.10.2018,0,2,0,2
12.10.2018,0,2,0,2
13.10.2018,0,2,0,2
14.10.2018,0,2,0,2
15.10.2018,0,2,0,2
16.10.2018,0,2,0,2
17.10.2018,0,2,0,2
18.10.2018,0,2,0,2
19.10.2018,0,2,0,2
20.10.2018,0,2,0,2
21.10.2018,0,2,0,2
22.10.2018,0,2,0,2
23.10.2018,0,3,0,3
24.10.2018,0,3,0,3
25.10.2018,0,3,0,3
26.10.2018,0,3,0,3
27.10.2018,0,3,0,3
28.10.2018,0,3,0,3
29.10.2018,0,3,0,3
30.10.2018,0,3,0,3
31.10.2018,0,3,0,3
01.11.2018,0,3,0,3
02.11.2018,0,3,0,3
03.11.2018,0,3,0,3
04.11.2018,0,3,0,3
05.11.2018,0,3,0,3
06.11.2018,0,3,0,3
07.11.2018,0,3,0,3
08.11.2018,0,3,0,3
09.11.2018,0,3,0,3
10.11.2018,0,3,0,3
11.11.2018,0,3,0,3
12.11.2018,0,3,0,3
13.11.2018,0,3,0,3
14.11.2018,0,3,0,3
15.11.2018,0,3,0,3
16.11.2018,0,3,0,3
17.11.2018,0,3,0,3
18.11.2018,0,3,0,3
19.11.2018,0,3,0,3
20.11.2018,0,3,0,3
21.11.2018,0,3,0,3
22.11.2018,0,3,0,3
23.11.2018,0,3,0,3
24.11.2018,0,3,0,3
25.11.2018,0,3,0,3
26.11.2018,0,3,0,3
27.11.2018,0,3,0,3
28.11.2018,0,3,0,3
29.11.2018,0,3,0,3
30.11.2018,0,3,0,3
01.12.2018,0,3,0,3
02.12.2018,0,3,0,3
03.12.2018,0,3,0,3
04.12.2018,0,3,0,3
05.12.2018,0,3,0,3
06.12.2018,0,3,0,3
07.12.2018,0,3,0,3
08.12.2018,0,3,0,3
09.12.2018,0,3,0,3
10.12.2018,0,3,2,5
11.12.2018,0,3,2,5
12.12.2018,0,3,2,5
13.12.2018,0,3,2,5
14.12.2018,0,3,2,5
15.12.2018,0,3,2,5
16.12.2018,0,3,2,5
17.12.2018,0,3,2,5
18.12.2018,0,3,2,5
19.12.2018,0,3,2,5
20.12.2018,0,3,2,5
21.12.2018,0,3,2,5
22.12.2018,0,3,2,5
23.12.2018,0,3,2,5
24.12.2018,0,3,2,5
25.12.2018,0,3,2,5
