waves,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,2,6,8
02.01.2015,0,2,6,8
03.01.2015,0,2,7,9
04.01.2015,0,2,6,8
05.01.2015,0,1,6,7
06.01.2015,0,0,6,6
07.01.2015,0,0,6,6
08.01.2015,0,0,6,6
09.01.2015,0,0,6,6
10.01.2015,0,0,6,6
11.01.2015,0,0,6,6
12.01.2015,0,0,5,5
13.01.2015,0,0,5,5
14.01.2015,0,0,5,5
15.01.2015,0,1,5,6
16.01.2015,0,1,5,6
17.01.2015,0,1,5,6
18.01.2015,0,1,5,6
19.01.2015,0,1,5,6
20.01.2015,0,2,4,6
21.01.2015,0,2,3,5
22.01.2015,0,2,4,6
23.01.2015,0,2,4,6
24.01.2015,0,2,3,5
25.01.2015,0,2,3,5
26.01.2015,0,2,3,5
27.01.2015,0,2,3,5
28.01.2015,0,2,4,6
29.01.2015,0,2,4,6
30.01.2015,0,2,4,6
31.01.2015,0,2,3,5
01.02.2015,0,2,3,5
02.02.2015,0,2,3,5
03.02.2015,0,2,4,6
04.02.2015,0,3,4,7
05.02.2015,0,3,4,7
06.02.2015,0,3,4,7
07.02.2015,0,3,4,7
08.02.2015,0,3,4,7
09.02.2015,0,3,4,7
10.02.2015,0,3,4,7
11.02.2015,0,3,4,7
12.02.2015,0,3,4,7
13.02.2015,0,3,4,7
14.02.2015,0,3,4,7
15.02.2015,0,3,4,7
16.02.2015,0,3,4,7
17.02.2015,0,3,5,8
18.02.2015,0,5,3,8
19.02.2015,0,5,2,7
20.02.2015,0,5,3,8
21.02.2015,0,5,3,8
22.02.2015,0,5,3,8
23.02.2015,0,5,2,7
24.02.2015,0,5,3,8
25.02.2015,0,5,3,8
26.02.2015,0,5,3,8
27.02.2015,0,5,3,8
28.02.2015,0,5,3,8
01.03.2015,0,5,3,8
02.03.2015,0,5,4,9
03.03.2015,0,5,4,9
04.03.2015,0,4,3,7
05.03.2015,0,4,3,7
06.03.2015,0,4,3,7
07.03.2015,0,3,4,7
08.03.2015,0,4,3,7
09.03.2015,0,4,3,7
10.03.2015,0,4,3,7
11.03.2015,0,4,3,7
12.03.2015,0,4,3,7
13.03.2015,0,4,3,7
14.03.2015,0,4,3,7
15.03.2015,0,4,3,7
16.03.2015,0,4,4,8
17.03.2015,0,4,4,8
18.03.2015,0,2,4,6
19.03.2015,0,2,5,7
20.03.2015,0,2,4,6
21.03.2015,0,2,4,6
22.03.2015,0,2,4,6
23.03.2015,0,3,4,7
24.03.2015,0,3,4,7
25.03.2015,0,3,4,7
26.03.2015,0,3,5,8
27.03.2015,0,3,5,8
28.03.2015,0,3,6,9
29.03.2015,0,3,6,9
30.03.2015,0,3,5,8
31.03.2015,0,3,5,8
01.04.2015,0,3,5,8
02.04.2015,0,3,5,8
03.04.2015,0,3,5,8
04.04.2015,0,3,5,8
05.04.2015,0,1,5,6
06.04.2015,0,1,5,6
07.04.2015,0,1,5,6
08.04.2015,0,2,5,7
09.04.2015,0,2,5,7
10.04.2015,0,2,5,7
11.04.2015,0,2,5,7
12.04.2015,0,2,5,7
13.04.2015,0,2,5,7
14.04.2015,0,2,5,7
15.04.2015,0,2,5,7
16.04.2015,0,2,4,6
17.04.2015,0,2,4,6
18.04.2015,0,2,4,6
19.04.2015,0,2,4,6
20.04.2015,0,1,4,5
21.04.2015,0,2,2,4
22.04.2015,0,2,3,5
23.04.2015,0,2,2,4
24.04.2015,0,2,3,5
25.04.2015,0,2,3,5
26.04.2015,0,2,3,5
27.04.2015,0,2,3,5
28.04.2015,0,2,3,5
29.04.2015,0,2,3,5
30.04.2015,0,2,3,5
01.05.2015,0,2,3,5
02.05.2015,0,2,3,5
03.05.2015,0,2,3,5
04.05.2015,0,2,3,5
05.05.2015,0,2,3,5
06.05.2015,0,1,4,5
07.05.2015,0,1,4,5
08.05.2015,0,1,5,6
09.05.2015,0,1,5,6
10.05.2015,0,1,5,6
11.05.2015,0,1,4,5
12.05.2015,0,1,4,5
13.05.2015,0,1,4,5
14.05.2015,0,1,4,5
15.05.2015,0,2,3,5
16.05.2015,0,2,3,5
17.05.2015,0,2,4,6
18.05.2015,0,3,4,7
19.05.2015,0,3,4,7
20.05.2015,0,3,3,6
21.05.2015,0,3,3,6
22.05.2015,0,3,2,5
23.05.2015,0,3,2,5
24.05.2015,0,3,2,5
25.05.2015,0,3,3,6
26.05.2015,0,4,2,6
27.05.2015,0,4,2,6
28.05.2015,0,4,2,6
29.05.2015,0,4,3,7
30.05.2015,0,4,3,7
31.05.2015,0,4,4,8
01.06.2015,0,4,4,8
02.06.2015,0,4,4,8
03.06.2015,0,4,3,7
04.06.2015,0,4,3,7
05.06.2015,0,4,4,8
06.06.2015,0,4,5,9
07.06.2015,0,4,5,9
08.06.2015,0,4,5,9
09.06.2015,0,4,5,9
10.06.2015,0,4,6,10
11.06.2015,0,4,6,10
12.06.2015,0,4,6,10
13.06.2015,0,4,6,10
14.06.2015,0,4,6,10
15.06.2015,0,4,5,9
16.06.2015,0,3,5,8
17.06.2015,0,3,5,8
18.06.2015,0,3,5,8
19.06.2015,0,2,6,8
20.06.2015,0,2,6,8
21.06.2015,0,1,6,7
22.06.2015,0,1,6,7
23.06.2015,0,0,7,7
24.06.2015,0,0,7,7
25.06.2015,0,1,6,7
26.06.2015,0,1,5,6
27.06.2015,0,1,5,6
28.06.2015,0,1,4,5
29.06.2015,0,1,4,5
30.06.2015,0,1,6,7
01.07.2015,0,1,7,8
02.07.2015,0,1,7,8
03.07.2015,0,1,6,7
04.07.2015,0,1,5,6
05.07.2015,0,1,5,6
06.07.2015,0,1,5,6
07.07.2015,0,1,5,6
08.07.2015,0,1,4,5
09.07.2015,0,1,4,5
10.07.2015,0,1,4,5
11.07.2015,0,1,4,5
12.07.2015,0,1,4,5
13.07.2015,0,1,4,5
14.07.2015,0,1,4,5
15.07.2015,0,1,4,5
16.07.2015,0,1,5,6
17.07.2015,0,1,4,5
18.07.2015,0,1,4,5
19.07.2015,0,1,4,5
20.07.2015,0,1,5,6
21.07.2015,0,1,8,9
22.07.2015,0,2,7,9
23.07.2015,0,1,7,8
24.07.2015,0,1,7,8
25.07.2015,0,2,6,8
26.07.2015,0,2,6,8
27.07.2015,0,2,6,8
28.07.2015,0,2,4,6
29.07.2015,0,2,4,6
30.07.2015,0,2,4,6
31.07.2015,0,2,4,6
01.08.2015,0,2,4,6
02.08.2015,0,2,4,6
03.08.2015,0,2,4,6
04.08.2015,0,2,4,6
05.08.2015,0,2,5,7
06.08.2015,0,2,5,7
07.08.2015,0,2,5,7
08.08.2015,0,2,5,7
09.08.2015,0,2,5,7
10.08.2015,0,2,5,7
11.08.2015,0,2,5,7
12.08.2015,0,2,5,7
13.08.2015,0,2,4,6
14.08.2015,0,2,4,6
15.08.2015,0,2,4,6
16.08.2015,0,2,4,6
17.08.2015,0,2,4,6
18.08.2015,0,2,2,4
19.08.2015,0,2,3,5
20.08.2015,0,2,3,5
21.08.2015,0,2,5,7
22.08.2015,0,2,5,7
23.08.2015,0,3,4,7
24.08.2015,0,3,5,8
25.08.2015,0,3,5,8
26.08.2015,0,3,5,8
27.08.2015,0,3,5,8
28.08.2015,0,3,5,8
29.08.2015,0,3,5,8
30.08.2015,0,3,5,8
31.08.2015,0,3,5,8
01.09.2015,0,3,5,8
02.09.2015,0,3,4,7
03.09.2015,0,3,5,8
04.09.2015,0,3,5,8
05.09.2015,0,3,6,9
06.09.2015,0,3,6,9
07.09.2015,0,3,6,9
08.09.2015,0,2,7,9
09.09.2015,0,2,7,9
10.09.2015,0,2,7,9
11.09.2015,0,2,7,9
12.09.2015,0,2,8,10
13.09.2015,0,2,8,10
14.09.2015,0,2,7,9
15.09.2015,0,2,7,9
16.09.2015,0,2,6,8
17.09.2015,0,2,6,8
18.09.2015,0,2,5,7
19.09.2015,0,2,5,7
20.09.2015,0,2,5,7
21.09.2015,0,2,5,7
22.09.2015,0,1,5,6
23.09.2015,0,1,5,6
24.09.2015,0,1,6,7
25.09.2015,0,2,5,7
26.09.2015,0,3,5,8
27.09.2015,0,3,5,8
28.09.2015,0,2,6,8
29.09.2015,0,2,7,9
30.09.2015,0,2,7,9
01.10.2015,0,2,6,8
02.10.2015,0,2,6,8
03.10.2015,0,2,5,7
04.10.2015,0,2,6,8
05.10.2015,0,2,6,8
06.10.2015,0,3,5,8
07.10.2015,0,3,6,9
08.10.2015,0,3,6,9
09.10.2015,0,4,5,9
10.10.2015,0,4,4,8
11.10.2015,0,4,4,8
12.10.2015,0,4,5,9
13.10.2015,0,5,6,11
14.10.2015,0,5,6,11
15.10.2015,0,5,6,11
16.10.2015,0,5,7,12
17.10.2015,0,5,7,12
18.10.2015,0,5,7,12
19.10.2015,0,5,6,11
20.10.2015,0,5,7,12
21.10.2015,0,5,7,12
22.10.2015,0,5,8,13
23.10.2015,0,5,8,13
24.10.2015,0,6,6,12
25.10.2015,0,5,6,11
26.10.2015,0,5,6,11
27.10.2015,0,5,5,10
28.10.2015,0,5,6,11
29.10.2015,0,6,5,11
30.10.2015,0,6,5,11
31.10.2015,0,6,5,11
01.11.2015,0,6,4,10
02.11.2015,0,6,4,10
03.11.2015,0,6,4,10
04.11.2015,0,6,4,10
05.11.2015,0,6,5,11
06.11.2015,1,5,6,12
07.11.2015,1,6,5,12
08.11.2015,1,6,5,12
09.11.2015,1,6,5,12
10.11.2015,1,5,4,10
11.11.2015,1,5,4,10
12.11.2015,1,5,4,10
13.11.2015,0,6,3,9
14.11.2015,0,6,3,9
15.11.2015,0,6,3,9
16.11.2015,0,6,3,9
17.11.2015,0,5,2,7
18.11.2015,0,5,2,7
19.11.2015,0,5,2,7
20.11.2015,0,5,3,8
21.11.2015,0,5,4,9
22.11.2015,0,5,4,9
23.11.2015,0,5,3,8
24.11.2015,1,4,4,9
25.11.2015,1,3,4,8
26.11.2015,2,2,4,8
27.11.2015,2,2,4,8
28.11.2015,2,2,4,8
29.11.2015,2,2,5,9
30.11.2015,2,2,5,9
01.12.2015,1,3,5,9
02.12.2015,1,3,6,10
03.12.2015,1,3,5,9
04.12.2015,1,3,5,9
05.12.2015,1,2,5,8
06.12.2015,2,1,5,8
07.12.2015,2,1,5,8
08.12.2015,2,1,5,8
09.12.2015,2,1,5,8
10.12.2015,0,2,5,7
11.12.2015,0,1,6,7
12.12.2015,0,0,6,6
13.12.2015,0,0,6,6
14.12.2015,0,0,7,7
15.12.2015,0,0,7,7
16.12.2015,0,0,7,7
17.12.2015,0,0,7,7
18.12.2015,0,1,7,8
19.12.2015,0,1,6,7
20.12.2015,0,1,6,7
21.12.2015,0,1,6,7
22.12.2015,0,1,5,6
23.12.2015,0,1,5,6
24.12.2015,0,1,5,6
25.12.2015,0,1,5,6
26.12.2015,0,1,5,6
27.12.2015,0,1,4,5
28.12.2015,0,1,4,5
29.12.2015,0,1,4,5
30.12.2015,0,1,3,4
31.12.2015,0,1,3,4
01.01.2016,0,1,3,4
02.01.2016,0,1,5,6
03.01.2016,0,2,4,6
04.01.2016,0,3,4,7
05.01.2016,0,3,4,7
06.01.2016,0,3,6,9
07.01.2016,0,3,8,11
08.01.2016,0,3,7,10
09.01.2016,0,3,8,11
10.01.2016,0,3,9,12
11.01.2016,0,3,8,11
12.01.2016,0,2,10,12
13.01.2016,0,2,10,12
14.01.2016,0,2,10,12
15.01.2016,0,2,9,11
16.01.2016,0,3,8,11
17.01.2016,0,3,9,12
18.01.2016,0,4,10,14
19.01.2016,0,5,9,14
20.01.2016,0,5,9,14
21.01.2016,0,5,9,14
22.01.2016,0,5,9,14
23.01.2016,0,5,9,14
24.01.2016,0,6,9,15
25.01.2016,0,6,10,16
26.01.2016,0,6,10,16
27.01.2016,0,6,12,18
28.01.2016,0,7,11,18
29.01.2016,0,7,11,18
30.01.2016,0,7,10,17
31.01.2016,0,7,10,17
01.02.2016,0,7,11,18
02.02.2016,0,7,11,18
03.02.2016,0,6,9,15
04.02.2016,0,6,7,13
05.02.2016,0,6,7,13
06.02.2016,0,6,7,13
07.02.2016,0,6,6,12
08.02.2016,0,7,7,14
09.02.2016,0,8,5,13
10.02.2016,0,8,5,13
11.02.2016,0,9,5,14
12.02.2016,0,9,5,14
13.02.2016,0,9,5,14
14.02.2016,0,9,4,13
15.02.2016,0,9,4,13
16.02.2016,0,8,5,13
17.02.2016,0,8,5,13
18.02.2016,0,8,5,13
19.02.2016,0,8,5,13
20.02.2016,0,8,5,13
21.02.2016,0,7,5,12
22.02.2016,0,7,5,12
23.02.2016,0,8,4,12
24.02.2016,0,9,2,11
25.02.2016,0,8,2,10
26.02.2016,0,8,2,10
27.02.2016,0,8,2,10
28.02.2016,0,8,2,10
29.02.2016,0,8,3,11
01.03.2016,0,8,3,11
02.03.2016,0,10,3,13
03.03.2016,0,11,2,13
04.03.2016,0,11,2,13
05.03.2016,0,11,1,12
06.03.2016,0,11,1,12
07.03.2016,0,11,2,13
08.03.2016,0,12,1,13
09.03.2016,0,12,1,13
10.03.2016,0,11,2,13
11.03.2016,0,10,2,12
12.03.2016,0,10,2,12
13.03.2016,0,9,2,11
14.03.2016,0,8,2,10
15.03.2016,0,8,2,10
16.03.2016,0,8,2,10
17.03.2016,0,8,3,11
18.03.2016,0,8,3,11
19.03.2016,0,8,4,12
20.03.2016,0,8,5,13
21.03.2016,0,8,7,15
22.03.2016,0,8,6,14
23.03.2016,0,10,4,14
24.03.2016,0,10,5,15
25.03.2016,0,10,5,15
26.03.2016,0,10,5,15
27.03.2016,0,10,5,15
28.03.2016,0,9,4,13
29.03.2016,0,9,4,13
30.03.2016,0,8,4,12
31.03.2016,0,7,4,11
01.04.2016,0,8,3,11
02.04.2016,0,8,3,11
03.04.2016,0,7,4,11
04.04.2016,0,7,8,15
05.04.2016,0,8,6,14
06.04.2016,0,9,7,16
07.04.2016,0,9,6,15
08.04.2016,0,9,6,15
09.04.2016,0,9,6,15
10.04.2016,0,9,6,15
11.04.2016,0,9,6,15
12.04.2016,0,10,7,17
13.04.2016,0,10,9,19
14.04.2016,0,12,8,20
15.04.2016,0,12,8,20
16.04.2016,0,12,7,19
17.04.2016,0,12,7,19
18.04.2016,0,11,7,18
19.04.2016,0,11,9,20
20.04.2016,0,9,9,18
21.04.2016,0,9,8,17
22.04.2016,0,9,8,17
23.04.2016,0,9,8,17
24.04.2016,0,9,8,17
25.04.2016,0,9,8,17
26.04.2016,0,9,8,17
27.04.2016,0,9,8,17
28.04.2016,0,9,8,17
