xdc,,,,
Date, Full Time, Part Time, One Time, Total
30.08.2017,0,0,1,1
31.08.2017,0,0,1,1
01.09.2017,0,0,1,1
02.09.2017,0,0,1,1
03.09.2017,0,0,1,1
04.09.2017,0,1,0,1
05.09.2017,0,1,0,1
06.09.2017,0,1,0,1
07.09.2017,0,1,0,1
08.09.2017,0,1,0,1
09.09.2017,0,1,0,1
10.09.2017,0,1,0,1
11.09.2017,0,1,1,2
12.09.2017,0,1,1,2
13.09.2017,0,1,1,2
14.09.2017,0,1,2,3
15.09.2017,0,1,2,3
16.09.2017,0,1,2,3
17.09.2017,0,1,2,3
18.09.2017,0,1,2,3
19.09.2017,0,1,2,3
20.09.2017,0,1,2,3
21.09.2017,0,1,2,3
22.09.2017,0,1,2,3
23.09.2017,0,1,2,3
24.09.2017,0,1,2,3
25.09.2017,0,1,2,3
26.09.2017,0,1,2,3
27.09.2017,0,1,2,3
28.09.2017,0,1,2,3
29.09.2017,0,1,2,3
30.09.2017,0,1,2,3
01.10.2017,0,1,2,3
02.10.2017,0,1,2,3
03.10.2017,0,1,2,3
04.10.2017,0,1,2,3
05.10.2017,0,1,2,3
06.10.2017,0,1,2,3
07.10.2017,0,1,2,3
08.10.2017,0,1,2,3
09.10.2017,0,1,1,2
10.10.2017,0,0,1,1
11.10.2017,0,0,1,1
25.10.2017,0,1,0,1
26.10.2017,0,1,0,1
27.10.2017,0,1,0,1
28.10.2017,0,1,0,1
29.10.2017,0,1,0,1
30.10.2017,0,1,0,1
31.10.2017,0,1,0,1
01.11.2017,0,1,0,1
02.11.2017,0,1,0,1
03.11.2017,0,1,0,1
04.11.2017,0,1,0,1
05.11.2017,0,1,0,1
06.11.2017,0,1,0,1
07.11.2017,0,1,0,1
08.11.2017,0,1,0,1
09.11.2017,0,1,0,1
10.11.2017,0,1,0,1
11.11.2017,0,1,0,1
12.11.2017,0,1,0,1
13.11.2017,0,1,0,1
14.11.2017,0,1,0,1
15.11.2017,0,1,0,1
16.11.2017,0,1,0,1
17.11.2017,0,1,0,1
18.11.2017,0,1,0,1
19.11.2017,0,1,0,1
20.11.2017,0,1,0,1
21.11.2017,0,1,0,1
