xrp,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,16,15,6,37
02.01.2015,16,15,6,37
03.01.2015,16,14,6,36
04.01.2015,16,15,7,38
05.01.2015,16,17,6,39
06.01.2015,17,17,6,40
07.01.2015,17,17,7,41
08.01.2015,18,16,6,40
09.01.2015,18,17,5,40
10.01.2015,17,18,5,40
11.01.2015,17,19,5,41
12.01.2015,17,20,5,42
13.01.2015,16,21,5,42
14.01.2015,16,21,6,43
15.01.2015,17,19,7,43
16.01.2015,18,18,8,44
17.01.2015,18,18,7,43
18.01.2015,18,18,7,43
19.01.2015,16,20,7,43
20.01.2015,16,19,7,42
21.01.2015,16,19,8,43
22.01.2015,16,20,8,44
23.01.2015,15,21,9,45
24.01.2015,16,20,9,45
25.01.2015,16,20,8,44
26.01.2015,16,20,7,43
27.01.2015,17,20,7,44
28.01.2015,16,22,7,45
29.01.2015,16,21,7,44
30.01.2015,16,20,7,43
31.01.2015,16,20,7,43
01.02.2015,16,20,5,41
02.02.2015,15,21,4,40
03.02.2015,17,19,4,40
04.02.2015,17,21,5,43
05.02.2015,17,21,5,43
06.02.2015,16,22,5,43
07.02.2015,16,22,5,43
08.02.2015,16,22,5,43
09.02.2015,14,22,6,42
10.02.2015,14,23,6,43
11.02.2015,14,22,6,42
12.02.2015,15,22,6,43
13.02.2015,16,20,5,41
14.02.2015,15,21,5,41
15.02.2015,15,21,5,41
16.02.2015,14,22,5,41
17.02.2015,15,22,6,43
18.02.2015,16,21,6,43
19.02.2015,16,21,6,43
20.02.2015,16,21,6,43
21.02.2015,16,21,6,43
22.02.2015,16,21,6,43
23.02.2015,17,21,5,43
24.02.2015,16,22,5,43
25.02.2015,15,24,4,43
26.02.2015,15,24,5,44
27.02.2015,15,24,5,44
28.02.2015,15,25,4,44
01.03.2015,15,25,4,44
02.03.2015,15,24,5,44
03.03.2015,15,23,5,43
04.03.2015,15,23,3,41
05.03.2015,15,23,3,41
06.03.2015,15,23,3,41
07.03.2015,15,23,3,41
08.03.2015,15,23,3,41
09.03.2015,14,24,1,39
10.03.2015,14,24,1,39
11.03.2015,14,24,2,40
12.03.2015,17,21,1,39
13.03.2015,17,21,3,41
14.03.2015,17,22,2,41
15.03.2015,17,22,2,41
16.03.2015,17,22,2,41
17.03.2015,16,25,2,43
18.03.2015,18,24,2,44
19.03.2015,17,25,3,45
20.03.2015,18,25,3,46
21.03.2015,17,27,3,47
22.03.2015,17,28,2,47
23.03.2015,17,29,2,48
24.03.2015,17,29,1,47
25.03.2015,19,27,1,47
26.03.2015,18,27,2,47
27.03.2015,18,27,3,48
28.03.2015,17,27,3,47
29.03.2015,17,27,3,47
30.03.2015,17,28,2,47
31.03.2015,17,29,1,47
01.04.2015,18,27,1,46
02.04.2015,17,27,1,45
03.04.2015,17,27,1,45
04.04.2015,17,27,1,45
05.04.2015,17,27,1,45
06.04.2015,16,28,1,45
07.04.2015,16,28,1,45
08.04.2015,16,28,1,45
09.04.2015,18,25,1,44
10.04.2015,18,24,1,43
11.04.2015,18,24,1,43
12.04.2015,18,24,1,43
13.04.2015,19,22,1,42
14.04.2015,17,23,1,41
15.04.2015,19,20,1,40
16.04.2015,18,23,1,42
17.04.2015,19,21,2,42
18.04.2015,19,21,3,43
19.04.2015,19,21,3,43
20.04.2015,19,20,3,42
21.04.2015,17,20,3,40
22.04.2015,19,19,3,41
23.04.2015,18,21,3,42
24.04.2015,17,23,3,43
25.04.2015,16,23,3,42
26.04.2015,16,23,3,42
27.04.2015,16,23,3,42
