zcash,,,,
Date, Full Time, Part Time, One Time, Total
01.01.2015,0,0,2,2
02.01.2015,0,0,2,2
03.01.2015,0,0,2,2
04.01.2015,0,0,2,2
05.01.2015,0,0,2,2
06.01.2015,0,0,2,2
07.01.2015,0,0,2,2
08.01.2015,0,0,2,2
09.01.2015,0,0,2,2
10.01.2015,0,0,2,2
11.01.2015,0,0,2,2
12.01.2015,0,0,2,2
13.01.2015,0,0,1,1
14.01.2015,0,0,1,1
15.01.2015,0,0,1,1
16.01.2015,0,0,1,1
20.01.2015,0,0,2,2
21.01.2015,0,0,2,2
22.01.2015,0,0,2,2
23.01.2015,0,1,1,2
24.01.2015,0,1,1,2
25.01.2015,0,1,1,2
26.01.2015,0,1,1,2
27.01.2015,0,1,1,2
28.01.2015,0,1,1,2
29.01.2015,0,1,1,2
30.01.2015,0,1,1,2
31.01.2015,0,1,1,2
01.02.2015,0,1,1,2
02.02.2015,0,1,1,2
03.02.2015,0,1,1,2
04.02.2015,0,1,1,2
05.02.2015,0,1,1,2
06.02.2015,0,1,1,2
07.02.2015,0,1,1,2
08.02.2015,0,1,1,2
09.02.2015,0,1,1,2
10.02.2015,0,1,1,2
11.02.2015,0,2,1,3
12.02.2015,0,2,1,3
13.02.2015,0,1,2,3
14.02.2015,0,1,2,3
15.02.2015,0,1,2,3
16.02.2015,0,1,2,3
17.02.2015,0,1,1,2
18.02.2015,0,1,1,2
19.02.2015,0,1,1,2
20.02.2015,0,0,1,1
21.02.2015,0,0,1,1
22.02.2015,0,0,1,1
23.02.2015,0,0,1,1
24.02.2015,0,0,1,1
25.02.2015,0,0,1,1
26.02.2015,0,0,1,1
27.02.2015,0,0,1,1
28.02.2015,0,0,1,1
01.03.2015,0,0,1,1
02.03.2015,0,0,1,1
03.03.2015,0,0,2,2
04.03.2015,0,0,2,2
05.03.2015,0,0,2,2
06.03.2015,0,0,2,2
07.03.2015,0,0,2,2
08.03.2015,0,0,2,2
09.03.2015,0,0,2,2
10.03.2015,0,0,2,2
11.03.2015,0,0,1,1
12.03.2015,0,0,1,1
13.03.2015,0,0,1,1
14.03.2015,0,0,1,1
15.03.2015,0,0,1,1
16.03.2015,0,0,1,1
17.03.2015,0,0,2,2
18.03.2015,0,0,2,2
19.03.2015,0,0,3,3
20.03.2015,0,1,3,4
21.03.2015,0,1,3,4
22.03.2015,0,1,4,5
23.03.2015,0,1,4,5
24.03.2015,0,1,4,5
25.03.2015,0,1,5,6
26.03.2015,0,2,5,7
27.03.2015,0,2,5,7
28.03.2015,0,2,5,7
29.03.2015,0,2,5,7
30.03.2015,0,2,5,7
31.03.2015,0,2,4,6
01.04.2015,0,2,4,6
02.04.2015,0,2,4,6
03.04.2015,0,2,4,6
04.04.2015,0,2,4,6
05.04.2015,0,2,4,6
06.04.2015,0,2,4,6
