zilliqa,,,,
Date, Full Time, Part Time, One Time, Total
04.09.2015,0,0,1,1
05.09.2015,0,0,1,1
06.09.2015,0,0,1,1
07.09.2015,0,0,1,1
08.09.2015,0,0,1,1
09.09.2015,0,0,1,1
10.09.2015,0,0,1,1
11.09.2015,0,0,1,1
12.09.2015,0,0,1,1
13.09.2015,0,0,1,1
14.09.2015,0,0,1,1
15.09.2015,0,0,1,1
16.09.2015,0,1,0,1
17.09.2015,0,1,0,1
18.09.2015,0,1,0,1
19.09.2015,0,1,0,1
20.09.2015,0,1,0,1
21.09.2015,0,1,0,1
22.09.2015,0,1,0,1
23.09.2015,0,1,0,1
24.09.2015,0,1,0,1
25.09.2015,0,1,0,1
26.09.2015,0,1,0,1
27.09.2015,0,1,0,1
28.09.2015,0,1,0,1
29.09.2015,0,1,0,1
30.09.2015,0,1,0,1
01.10.2015,0,1,0,1
02.10.2015,0,1,0,1
03.10.2015,0,1,0,1
04.10.2015,0,1,0,1
05.10.2015,0,1,0,1
06.10.2015,0,1,0,1
07.10.2015,0,1,0,1
08.10.2015,0,1,0,1
09.10.2015,0,1,0,1
10.10.2015,0,1,0,1
11.10.2015,0,1,0,1
12.10.2015,0,1,0,1
13.10.2015,0,1,0,1
14.10.2015,0,1,0,1
15.10.2015,0,1,0,1
06.10.2017,0,0,1,1
07.10.2017,0,0,1,1
08.10.2017,0,0,1,1
09.10.2017,0,0,1,1
10.10.2017,0,0,1,1
11.10.2017,0,0,1,1
12.10.2017,0,0,1,1
13.10.2017,0,0,1,1
14.10.2017,0,0,1,1
15.10.2017,0,0,1,1
16.10.2017,0,0,1,1
17.10.2017,0,0,1,1
18.10.2017,0,0,1,1
19.10.2017,0,0,2,2
20.10.2017,0,0,2,2
21.10.2017,0,0,2,2
22.10.2017,0,0,2,2
23.10.2017,0,0,2,2
24.10.2017,0,0,2,2
25.10.2017,0,1,1,2
26.10.2017,0,1,1,2
27.10.2017,0,1,1,2
28.10.2017,0,1,1,2
29.10.2017,0,1,1,2
30.10.2017,0,1,1,2
31.10.2017,0,1,1,2
01.11.2017,0,1,1,2
02.11.2017,0,1,1,2
03.11.2017,0,1,0,1
04.11.2017,0,1,0,1
05.11.2017,0,1,0,1
06.11.2017,0,2,0,2
07.11.2017,0,2,0,2
08.11.2017,0,2,0,2
09.11.2017,0,2,0,2
10.11.2017,0,2,0,2
11.11.2017,0,2,0,2
12.11.2017,0,2,0,2
13.11.2017,0,2,0,2
14.11.2017,0,2,0,2
15.11.2017,0,2,0,2
16.11.2017,0,2,0,2
17.11.2017,0,2,0,2
18.11.2017,0,2,0,2
19.11.2017,0,2,0,2
20.11.2017,0,2,0,2
21.11.2017,0,2,0,2
22.11.2017,0,2,0,2
23.11.2017,0,2,0,2
24.11.2017,0,2,0,2
25.11.2017,0,2,0,2
26.11.2017,0,2,0,2
27.11.2017,0,2,0,2
28.11.2017,0,2,0,2
29.11.2017,0,2,0,2
30.11.2017,0,2,0,2
01.12.2017,0,2,0,2
02.12.2017,0,2,0,2
03.12.2017,0,2,0,2
04.12.2017,0,2,0,2
05.12.2017,0,1,0,1
06.12.2017,0,1,0,1
07.12.2017,0,1,0,1
08.12.2017,0,1,0,1
09.12.2017,0,1,0,1
10.12.2017,0,1,0,1
11.12.2017,0,1,0,1
22.12.2017,0,1,0,1
23.12.2017,0,2,0,2
24.12.2017,0,2,0,2
25.12.2017,0,2,0,2
26.12.2017,0,2,0,2
27.12.2017,0,2,1,3
28.12.2017,0,2,2,4
29.12.2017,0,2,2,4
30.12.2017,0,2,2,4
31.12.2017,0,2,4,6
01.01.2018,0,2,4,6
02.01.2018,0,2,4,6
03.01.2018,0,2,5,7
04.01.2018,0,3,5,8
05.01.2018,0,3,5,8
06.01.2018,0,3,7,10
07.01.2018,0,4,6,10
08.01.2018,0,4,7,11
09.01.2018,0,6,5,11
10.01.2018,0,6,5,11
11.01.2018,0,6,5,11
12.01.2018,1,5,5,11
13.01.2018,1,5,5,11
14.01.2018,1,5,5,11
15.01.2018,1,5,5,11
16.01.2018,1,5,5,11
17.01.2018,1,5,5,11
18.01.2018,1,5,5,11
19.01.2018,1,4,5,10
20.01.2018,1,4,5,10
21.01.2018,0,5,5,10
22.01.2018,1,4,5,10
23.01.2018,1,4,5,10
24.01.2018,1,4,4,9
25.01.2018,1,4,3,8
26.01.2018,1,4,3,8
27.01.2018,1,4,3,8
28.01.2018,1,4,2,7
29.01.2018,1,4,2,7
30.01.2018,1,4,2,7
31.01.2018,1,4,2,7
01.02.2018,2,3,1,6
02.02.2018,2,4,1,7
03.02.2018,2,4,1,7
04.02.2018,2,4,1,7
05.02.2018,2,4,0,6
06.02.2018,2,2,0,4
07.02.2018,2,2,0,4
08.02.2018,2,2,0,4
09.02.2018,2,2,0,4
10.02.2018,2,2,0,4
11.02.2018,2,2,0,4
12.02.2018,2,2,0,4
13.02.2018,2,4,0,6
14.02.2018,1,5,0,6
15.02.2018,1,5,0,6
16.02.2018,1,5,0,6
17.02.2018,1,5,0,6
18.02.2018,1,4,0,5
19.02.2018,1,4,0,5
20.02.2018,1,5,2,8
21.02.2018,2,7,0,9
22.02.2018,2,7,2,11
23.02.2018,2,8,1,11
24.02.2018,2,8,1,11
25.02.2018,2,9,0,11
26.02.2018,2,9,0,11
27.02.2018,2,9,1,12
28.02.2018,2,10,0,12
01.03.2018,2,10,0,12
02.03.2018,2,9,1,12
03.03.2018,2,9,1,12
04.03.2018,2,9,1,12
05.03.2018,1,9,1,11
06.03.2018,1,9,1,11
07.03.2018,1,9,1,11
08.03.2018,2,8,1,11
09.03.2018,2,8,1,11
10.03.2018,2,8,1,11
11.03.2018,2,8,1,11
12.03.2018,2,8,3,13
13.03.2018,2,8,3,13
14.03.2018,2,8,3,13
15.03.2018,2,9,2,13
16.03.2018,2,9,2,13
17.03.2018,2,9,2,13
18.03.2018,2,9,3,14
19.03.2018,2,9,3,14
20.03.2018,2,9,3,14
21.03.2018,3,7,3,13
22.03.2018,3,7,3,13
23.03.2018,3,6,3,12
24.03.2018,3,6,3,12
25.03.2018,4,5,3,12
26.03.2018,4,5,3,12
27.03.2018,4,5,3,12
28.03.2018,5,4,3,12
29.03.2018,5,4,3,12
30.03.2018,5,4,2,11
31.03.2018,5,4,2,11
01.04.2018,5,4,2,11
02.04.2018,5,4,2,11
03.04.2018,5,5,2,12
04.04.2018,5,5,2,12
05.04.2018,5,5,2,12
06.04.2018,5,5,2,12
07.04.2018,5,5,2,12
08.04.2018,5,5,2,12
09.04.2018,5,5,2,12
10.04.2018,5,5,2,12
11.04.2018,5,5,3,13
12.04.2018,6,4,2,12
13.04.2018,6,4,2,12
14.04.2018,6,4,2,12
15.04.2018,6,4,1,11
16.04.2018,6,4,1,11
17.04.2018,6,4,1,11
18.04.2018,6,4,1,11
19.04.2018,6,4,2,12
20.04.2018,6,5,1,12
21.04.2018,6,5,1,12
22.04.2018,6,6,1,13
23.04.2018,6,6,1,13
24.04.2018,6,6,1,13
25.04.2018,6,6,1,13
26.04.2018,6,6,1,13
27.04.2018,6,6,1,13
28.04.2018,6,6,1,13
29.04.2018,6,6,1,13
30.04.2018,7,5,1,13
01.05.2018,6,6,1,13
02.05.2018,6,6,2,14
03.05.2018,6,7,1,14
04.05.2018,7,6,1,14
05.05.2018,7,6,1,14
06.05.2018,7,6,1,14
07.05.2018,7,6,1,14
08.05.2018,7,6,1,14
09.05.2018,7,6,1,14
10.05.2018,8,5,0,13
11.05.2018,8,5,0,13
12.05.2018,8,5,0,13
13.05.2018,8,5,0,13
14.05.2018,8,5,1,14
15.05.2018,8,5,1,14
16.05.2018,8,5,3,16
17.05.2018,8,6,3,17
18.05.2018,8,7,2,17
19.05.2018,8,7,2,17
20.05.2018,8,7,2,17
21.05.2018,8,7,2,17
22.05.2018,8,6,2,16
23.05.2018,8,6,2,16
24.05.2018,8,5,4,17
25.05.2018,8,5,5,18
26.05.2018,8,6,4,18
27.05.2018,8,6,4,18
28.05.2018,8,7,3,18
29.05.2018,8,7,3,18
30.05.2018,8,7,3,18
31.05.2018,9,6,3,18
01.06.2018,9,7,2,18
02.06.2018,9,7,2,18
03.06.2018,9,7,2,18
04.06.2018,9,7,4,20
05.06.2018,9,8,3,20
06.06.2018,9,9,2,20
07.06.2018,9,9,2,20
08.06.2018,9,8,2,19
09.06.2018,9,8,2,19
10.06.2018,9,8,2,19
11.06.2018,9,8,2,19
12.06.2018,9,8,2,19
13.06.2018,9,9,1,19
14.06.2018,9,9,1,19
15.06.2018,10,8,1,19
16.06.2018,10,8,1,19
17.06.2018,10,8,1,19
18.06.2018,10,8,1,19
19.06.2018,10,8,1,19
20.06.2018,10,8,1,19
21.06.2018,10,8,1,19
22.06.2018,10,8,1,19
23.06.2018,10,8,1,19
24.06.2018,10,8,2,20
25.06.2018,10,8,3,21
26.06.2018,10,9,2,21
27.06.2018,10,9,2,21
28.06.2018,11,7,2,20
29.06.2018,11,6,2,19
30.06.2018,11,5,2,18
01.07.2018,11,5,2,18
02.07.2018,11,5,2,18
03.07.2018,11,5,3,19
04.07.2018,11,5,3,19
05.07.2018,11,5,4,20
06.07.2018,11,6,3,20
07.07.2018,11,6,3,20
08.07.2018,11,7,2,20
09.07.2018,11,8,3,22
10.07.2018,11,8,4,23
11.07.2018,11,8,5,24
12.07.2018,11,9,4,24
13.07.2018,11,10,5,26
14.07.2018,11,10,5,26
15.07.2018,11,10,5,26
16.07.2018,11,11,4,26
17.07.2018,11,11,4,26
18.07.2018,11,11,5,27
19.07.2018,11,12,5,28
20.07.2018,11,12,5,28
21.07.2018,11,12,5,28
22.07.2018,11,12,4,27
23.07.2018,11,13,3,27
24.07.2018,12,11,4,27
25.07.2018,12,11,3,26
26.07.2018,12,11,5,28
27.07.2018,12,11,5,28
28.07.2018,12,10,6,28
29.07.2018,12,9,6,27
30.07.2018,12,10,4,26
31.07.2018,12,10,4,26
01.08.2018,12,10,4,26
02.08.2018,12,11,3,26
03.08.2018,12,11,3,26
04.08.2018,12,11,3,26
05.08.2018,12,11,3,26
06.08.2018,12,10,4,26
07.08.2018,12,11,3,26
08.08.2018,12,11,5,28
09.08.2018,12,13,3,28
10.08.2018,12,12,3,27
11.08.2018,12,12,3,27
12.08.2018,11,13,3,27
13.08.2018,12,13,4,29
14.08.2018,13,12,3,28
15.08.2018,12,13,4,29
16.08.2018,14,11,3,28
17.08.2018,14,11,3,28
18.08.2018,14,11,3,28
19.08.2018,13,12,3,28
20.08.2018,13,12,3,28
21.08.2018,13,11,3,27
22.08.2018,12,13,3,28
23.08.2018,13,12,2,27
24.08.2018,14,10,4,28
25.08.2018,14,10,5,29
26.08.2018,14,10,5,29
27.08.2018,15,10,6,31
28.08.2018,15,11,6,32
29.08.2018,15,11,7,33
30.08.2018,14,14,5,33
31.08.2018,14,14,6,34
01.09.2018,13,17,4,34
02.09.2018,13,17,4,34
03.09.2018,13,18,3,34
04.09.2018,14,17,3,34
05.09.2018,14,16,4,34
06.09.2018,14,14,5,33
07.09.2018,15,15,5,35
08.09.2018,15,16,5,36
09.09.2018,15,17,4,36
10.09.2018,15,17,5,37
11.09.2018,15,18,5,38
12.09.2018,15,18,6,39
13.09.2018,16,18,7,41
14.09.2018,16,19,7,42
15.09.2018,16,19,7,42
16.09.2018,16,19,7,42
17.09.2018,15,20,7,42
18.09.2018,15,19,7,41
19.09.2018,15,19,6,40
20.09.2018,15,19,7,41
21.09.2018,15,19,6,40
22.09.2018,15,19,6,40
23.09.2018,15,19,6,40
24.09.2018,15,19,6,40
25.09.2018,15,20,6,41
26.09.2018,15,20,7,42
27.09.2018,15,18,7,40
28.09.2018,15,18,8,41
29.09.2018,16,17,8,41
30.09.2018,16,18,10,44
01.10.2018,17,18,9,44
02.10.2018,17,19,8,44
03.10.2018,16,23,6,45
04.10.2018,16,23,6,45
05.10.2018,17,22,4,43
06.10.2018,17,22,5,44
